Split Mata Kuliah,NAMA,Matematika,Sains,Fisika,Sosiologi,Biologi,Kimia,Bisnis dan Ekonomi,Teknologi,Seni,Sastra dan Linguistik,Pendidikan,Hukum,Lingkungan,Kesehatan,Geografi,Komunikasi,Sejarah dan Filsafat,Hukum,highest
Metode Penelitian Sosiologi,SOSIOLOGI,0.1,0.1,0.1,0.9,0.1,0.1,0.3,0.1,0.1,0.1,0.4,0.3,0.3,0.1,0.2,0.4,0.6,0.3,4
Sosiologi Keluarga,SOSIOLOGI,0.1,0.1,0.1,0.9,0.1,0.1,0.3,0.1,0.1,0.1,0.4,0.3,0.3,0.1,0.2,0.4,0.6,0.3,4
Sosiologi Industri,SOSIOLOGI,0.1,0.1,0.1,0.9,0.1,0.1,0.3,0.1,0.1,0.1,0.4,0.3,0.3,0.1,0.2,0.4,0.6,0.3,4
Sosiologi Pendidikan,SOSIOLOGI,0.1,0.1,0.1,0.9,0.1,0.1,0.3,0.1,0.1,0.1,0.4,0.3,0.3,0.1,0.2,0.4,0.6,0.3,4
Sistem Basis Data,TEKNOLOGI INFORMASI,0.7,0.4,0.3,0.1,0.1,0.1,0.4,0.9,0.2,0.1,0.2,0.1,0.1,0.1,0.2,0.3,0.1,0.1,8
Analisis dan Desain Sistem,TEKNOLOGI INFORMASI,0.7,0.4,0.3,0.1,0.1,0.1,0.4,0.9,0.2,0.1,0.2,0.1,0.1,0.1,0.2,0.3,0.1,0.1,8
Pencemaran Lingkungan,TEKNIK LINGKUNGAN,0.4,0.4,0.3,0.2,0.3,0.2,0.3,0.1,0.1,0.0,0.1,0.2,0.9,0.2,0.2,0.2,0.2,0.2,13
Konservasi Sumber Daya Alam,TEKNIK LINGKUNGAN,0.4,0.4,0.3,0.2,0.3,0.2,0.3,0.1,0.1,0.0,0.1,0.2,0.9,0.2,0.2,0.2,0.2,0.2,13
Pengelolaan Limbah,TEKNIK LINGKUNGAN,0.4,0.4,0.3,0.2,0.3,0.2,0.3,0.1,0.1,0.0,0.1,0.2,0.9,0.2,0.2,0.2,0.2,0.2,13
Bioremediasi,TEKNIK LINGKUNGAN,0.4,0.4,0.3,0.2,0.3,0.2,0.3,0.1,0.1,0.0,0.1,0.2,0.9,0.2,0.2,0.2,0.2,0.2,13
Analisis Lingkungan,TEKNIK LINGKUNGAN,0.4,0.4,0.3,0.2,0.3,0.2,0.3,0.1,0.1,0.0,0.1,0.2,0.9,0.2,0.2,0.2,0.2,0.2,13
Teori dan Praktik Bimbingan,BIMBINGAN DAN KONSELING,0.2,0.1,0.2,0.4,0.1,0.1,0.1,0.1,0.2,0.1,0.7,0.1,0.1,0.1,0.1,0.4,0.2,0.1,11
Psikologi Perkembangan,BIMBINGAN DAN KONSELING,0.2,0.1,0.2,0.4,0.1,0.1,0.1,0.1,0.2,0.1,0.7,0.1,0.1,0.1,0.1,0.4,0.2,0.1,11
Konseling Keluarga,BIMBINGAN DAN KONSELING,0.2,0.1,0.2,0.4,0.1,0.1,0.1,0.1,0.2,0.1,0.7,0.1,0.1,0.1,0.1,0.4,0.2,0.1,11
Konseling Pendidikan,BIMBINGAN DAN KONSELING,0.2,0.1,0.2,0.4,0.1,0.1,0.1,0.1,0.2,0.1,0.7,0.1,0.1,0.1,0.1,0.4,0.2,0.1,11
Bimbingan Karir,BIMBINGAN DAN KONSELING,0.2,0.1,0.2,0.4,0.1,0.1,0.1,0.1,0.2,0.1,0.7,0.1,0.1,0.1,0.1,0.4,0.2,0.1,11
Pemerintahan dan Kebijakan Publik,ILMU PEMERINTAHAN,0.1,0.1,0.1,0.5,0.1,0.1,0.1,0.0,0.1,0.0,0.2,0.8,0.3,0.0,0.2,0.5,0.3,0.8,12
Teori Organisasi,ILMU PEMERINTAHAN,0.1,0.1,0.1,0.5,0.1,0.1,0.1,0.0,0.1,0.0,0.2,0.8,0.3,0.0,0.2,0.5,0.3,0.8,12
Etika Pemerintahan,ILMU PEMERINTAHAN,0.1,0.1,0.1,0.5,0.1,0.1,0.1,0.0,0.1,0.0,0.2,0.8,0.3,0.0,0.2,0.5,0.3,0.8,12
Sistem Politik Indonesia,ILMU PEMERINTAHAN,0.1,0.1,0.1,0.5,0.1,0.1,0.1,0.0,0.1,0.0,0.2,0.8,0.3,0.0,0.2,0.5,0.3,0.8,12
Statistika Matematika,STATISTIKA,0.8,0.6,0.1,0.2,0.1,0.1,0.5,0.4,0.1,0.1,0.2,0.2,0.1,0.1,0.1,0.2,0.1,0.2,1
Statistika Terapan,STATISTIKA,0.8,0.6,0.1,0.2,0.1,0.1,0.5,0.4,0.1,0.1,0.2,0.2,0.1,0.1,0.1,0.2,0.1,0.2,1
Analisis Data,STATISTIKA,0.8,0.6,0.1,0.2,0.1,0.1,0.5,0.4,0.1,0.1,0.2,0.2,0.1,0.1,0.1,0.2,0.1,0.2,1
Metode Penelitian,STATISTIKA,0.8,0.6,0.1,0.2,0.1,0.1,0.5,0.4,0.1,0.1,0.2,0.2,0.1,0.1,0.1,0.2,0.1,0.2,1
Probabilitas dan Statistika,STATISTIKA,0.8,0.6,0.1,0.2,0.1,0.1,0.5,0.4,0.1,0.1,0.2,0.2,0.1,0.1,0.1,0.2,0.1,0.2,1
Genetika,BIOLOGI,0.4,0.8,0.1,0.2,0.9,0.4,0.1,0.2,0.2,0.1,0.3,0.2,0.2,0.4,0.2,0.2,0.2,0.2,5
Ekologi,BIOLOGI,0.4,0.8,0.1,0.2,0.9,0.4,0.1,0.2,0.2,0.1,0.3,0.2,0.2,0.4,0.2,0.2,0.2,0.2,5
Mikrobiologi,BIOLOGI,0.4,0.8,0.1,0.2,0.9,0.4,0.1,0.2,0.2,0.1,0.3,0.2,0.2,0.4,0.2,0.2,0.2,0.2,5
Biokimia,BIOLOGI,0.4,0.8,0.1,0.2,0.9,0.4,0.1,0.2,0.2,0.1,0.3,0.2,0.2,0.4,0.2,0.2,0.2,0.2,5
Ilmu Tanah,AGROTEKNOLOGI,0.7,0.3,0.2,0.1,0.6,0.2,0.2,0.1,0.2,0.0,0.2,0.1,0.8,0.0,0.3,0.1,0.1,0.1,13
Agribisnis,AGROTEKNOLOGI,0.7,0.3,0.2,0.1,0.6,0.2,0.2,0.1,0.2,0.0,0.2,0.1,0.8,0.0,0.3,0.1,0.1,0.1,13
Agroekoteknologi,AGROTEKNOLOGI,0.7,0.3,0.2,0.1,0.6,0.2,0.2,0.1,0.2,0.0,0.2,0.1,0.8,0.0,0.3,0.1,0.1,0.1,13
Agroindustri,AGROTEKNOLOGI,0.7,0.3,0.2,0.1,0.6,0.2,0.2,0.1,0.2,0.0,0.2,0.1,0.8,0.0,0.3,0.1,0.1,0.1,13
Perlindungan Tanaman,AGROTEKNOLOGI,0.7,0.3,0.2,0.1,0.6,0.2,0.2,0.1,0.2,0.0,0.2,0.1,0.8,0.0,0.3,0.1,0.1,0.1,13
Dasar-Dasar Desain Komunikasi Visual,DESAIN KOMUNIKASI VISUAL,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.9,0.1,0.1,0.1,0.1,0.1,0.1,0.6,0.1,0.1,9
Fotografi,DESAIN KOMUNIKASI VISUAL,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.9,0.1,0.1,0.1,0.1,0.1,0.1,0.6,0.1,0.1,9
Tipografi,DESAIN KOMUNIKASI VISUAL,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.9,0.1,0.1,0.1,0.1,0.1,0.1,0.6,0.1,0.1,9
Ilustrasi,DESAIN KOMUNIKASI VISUAL,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.9,0.1,0.1,0.1,0.1,0.1,0.1,0.6,0.1,0.1,9
Animasi,DESAIN KOMUNIKASI VISUAL,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.9,0.1,0.1,0.1,0.1,0.1,0.1,0.6,0.1,0.1,9
Ilmu Peternakan,PETERNAKAN,0.2,0.3,0.1,0.2,0.7,0.1,0.3,0.3,0.1,0.1,0.1,0.1,0.3,0.2,0.2,0.2,0.1,0.1,5
Nutrisi Ternak,PETERNAKAN,0.2,0.3,0.1,0.2,0.7,0.1,0.3,0.3,0.1,0.1,0.1,0.1,0.3,0.2,0.2,0.2,0.1,0.1,5
Reproduksi Ternak,PETERNAKAN,0.2,0.3,0.1,0.2,0.7,0.1,0.3,0.3,0.1,0.1,0.1,0.1,0.3,0.2,0.2,0.2,0.1,0.1,5
Penyakit Ternak,PETERNAKAN,0.2,0.3,0.1,0.2,0.7,0.1,0.3,0.3,0.1,0.1,0.1,0.1,0.3,0.2,0.2,0.2,0.1,0.1,5
Teknologi Ternak,PETERNAKAN,0.2,0.3,0.1,0.2,0.7,0.1,0.3,0.3,0.1,0.1,0.1,0.1,0.3,0.2,0.2,0.2,0.1,0.1,5
Grafika Komputer,TEKNIK KOMPUTER,0.6,0.2,0.3,0.1,0.1,0.1,0.2,0.9,0.2,0.1,0.1,0.2,0.1,0.2,0.2,0.3,0.2,0.2,8
Pengantar Administrasi Negara,ILMU ADMINISTRASI NEGARA,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.7,0.2,0.1,0.1,0.4,0.2,0.7,12
Pemerintahan Daerah,ILMU ADMINISTRASI NEGARA,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.7,0.2,0.1,0.1,0.4,0.2,0.7,12
Manajemen Organisasi Pemerintahan,ILMU ADMINISTRASI NEGARA,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.7,0.2,0.1,0.1,0.4,0.2,0.7,12
Teori Administrasi Negara,ILMU ADMINISTRASI NEGARA,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.7,0.2,0.1,0.1,0.4,0.2,0.7,12
Teknologi Proses,TEKNIK KIMIA,0.6,0.7,0.2,0.1,0.1,0.9,0.3,0.1,0.1,0.0,0.2,0.3,0.3,0.2,0.1,0.1,0.2,0.3,6
Termodinamika,TEKNIK KIMIA,0.6,0.7,0.2,0.1,0.1,0.9,0.3,0.1,0.1,0.0,0.2,0.3,0.3,0.2,0.1,0.1,0.2,0.3,6
Unit Operasi,TEKNIK KIMIA,0.6,0.7,0.2,0.1,0.1,0.9,0.3,0.1,0.1,0.0,0.2,0.3,0.3,0.2,0.1,0.1,0.2,0.3,6
Rekayasa Material,TEKNIK KIMIA,0.6,0.7,0.2,0.1,0.1,0.9,0.3,0.1,0.1,0.0,0.2,0.3,0.3,0.2,0.1,0.1,0.2,0.3,6
Teknik Reaksi Kimia,TEKNIK KIMIA,0.6,0.7,0.2,0.1,0.1,0.9,0.3,0.1,0.1,0.0,0.2,0.3,0.3,0.2,0.1,0.1,0.2,0.3,6
Matematika Diskrit,MATEMATIKA,0.9,0.3,0.2,0.1,0.1,0.1,0.3,0.4,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,1
Kalkulus,MATEMATIKA,0.9,0.3,0.2,0.1,0.1,0.1,0.3,0.4,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,1
Aljabar,MATEMATIKA,0.9,0.3,0.2,0.1,0.1,0.1,0.3,0.4,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,1
Statistika,MATEMATIKA,0.9,0.3,0.2,0.1,0.1,0.1,0.3,0.4,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,1
Geometri,MATEMATIKA,0.9,0.3,0.2,0.1,0.1,0.1,0.3,0.4,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,1
Teori Politik,ILMU POLITIK,0.1,0.1,0.1,0.4,0.1,0.1,0.2,0.1,0.2,0.1,0.1,0.7,0.1,0.1,0.1,0.4,0.2,0.7,12
Sistem Politik,ILMU POLITIK,0.1,0.1,0.1,0.4,0.1,0.1,0.2,0.1,0.2,0.1,0.1,0.7,0.1,0.1,0.1,0.4,0.2,0.7,12
Metodologi Penelitian Politik,ILMU POLITIK,0.1,0.1,0.1,0.4,0.1,0.1,0.2,0.1,0.2,0.1,0.1,0.7,0.1,0.1,0.1,0.4,0.2,0.7,12
Politik Luar Negeri,ILMU POLITIK,0.1,0.1,0.1,0.4,0.1,0.1,0.2,0.1,0.2,0.1,0.1,0.7,0.1,0.1,0.1,0.4,0.2,0.7,12
Politik Ekonomi,ILMU POLITIK,0.1,0.1,0.1,0.4,0.1,0.1,0.2,0.1,0.2,0.1,0.1,0.7,0.1,0.1,0.1,0.4,0.2,0.7,12
Histologi,KEDOKTERAN GIGI,0.2,0.3,0.2,0.1,0.7,0.2,0.2,0.1,0.2,0.0,0.1,0.3,0.2,0.8,0.2,0.3,0.1,0.3,14
Radiologi,KEDOKTERAN GIGI,0.2,0.3,0.2,0.1,0.7,0.2,0.2,0.1,0.2,0.0,0.1,0.3,0.2,0.8,0.2,0.3,0.1,0.3,14
Geologi Umum,TEKNIK GEOLOGI,0.3,0.7,0.5,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.2,0.1,0.3,0.1,0.6,0.2,0.1,0.1,2
Mineralogi,TEKNIK GEOLOGI,0.3,0.7,0.5,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.2,0.1,0.3,0.1,0.6,0.2,0.1,0.1,2
Petrologi,TEKNIK GEOLOGI,0.3,0.7,0.5,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.2,0.1,0.3,0.1,0.6,0.2,0.1,0.1,2
Sedimentologi,TEKNIK GEOLOGI,0.3,0.7,0.5,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.2,0.1,0.3,0.1,0.6,0.2,0.1,0.1,2
Paleontologi,TEKNIK GEOLOGI,0.3,0.7,0.5,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.2,0.1,0.3,0.1,0.6,0.2,0.1,0.1,2
Teknologi Pengolahan Pangan,TEKNOLOGI PANGAN,0.2,0.3,0.2,0.1,0.3,0.8,0.3,0.3,0.1,0.1,0.1,0.3,0.2,0.2,0.2,0.3,0.1,0.3,6
Kimia Pangan,TEKNOLOGI PANGAN,0.2,0.3,0.2,0.1,0.3,0.8,0.3,0.3,0.1,0.1,0.1,0.3,0.2,0.2,0.2,0.3,0.1,0.3,6
Pangan Fungsional,TEKNOLOGI PANGAN,0.2,0.3,0.2,0.1,0.3,0.8,0.3,0.3,0.1,0.1,0.1,0.3,0.2,0.2,0.2,0.3,0.1,0.3,6
Keamanan Pangan,TEKNOLOGI PANGAN,0.2,0.3,0.2,0.1,0.3,0.8,0.3,0.3,0.1,0.1,0.1,0.3,0.2,0.2,0.2,0.3,0.1,0.3,6
Aljabar Linear,PENDIDIKAN MATEMATIKA,0.8,0.3,0.3,0.2,0.1,0.0,0.2,0.2,0.1,0.1,0.7,0.1,0.1,0.2,0.2,0.1,0.2,0.1,1
Pengelolaan Hutan,KEHUTANAN,0.3,0.4,0.2,0.3,0.5,0.2,0.3,0.1,0.1,0.0,0.2,0.1,0.8,0.0,0.3,0.2,0.1,0.1,13
Ekologi Hutan,KEHUTANAN,0.3,0.4,0.2,0.3,0.5,0.2,0.3,0.1,0.1,0.0,0.2,0.1,0.8,0.0,0.3,0.2,0.1,0.1,13
Ilmu Kayu,KEHUTANAN,0.3,0.4,0.2,0.3,0.5,0.2,0.3,0.1,0.1,0.0,0.2,0.1,0.8,0.0,0.3,0.2,0.1,0.1,13
Penyuluhan Kehutanan,KEHUTANAN,0.3,0.4,0.2,0.3,0.5,0.2,0.3,0.1,0.1,0.0,0.2,0.1,0.8,0.0,0.3,0.2,0.1,0.1,13
Sastra Indonesia,PENDIDIKAN BAHASA DAN SASTRA INDONESIA,0.2,0.2,0.1,0.3,0.1,0.0,0.1,0.1,0.1,0.9,0.5,0.1,0.2,0.0,0.1,0.6,0.3,0.1,10
Linguistik,PENDIDIKAN BAHASA DAN SASTRA INDONESIA,0.2,0.2,0.1,0.3,0.1,0.0,0.1,0.1,0.1,0.9,0.5,0.1,0.2,0.0,0.1,0.6,0.3,0.1,10
Fonetik dan Fonologi Bahasa Indonesia,PENDIDIKAN BAHASA DAN SASTRA INDONESIA,0.2,0.2,0.1,0.3,0.1,0.0,0.1,0.1,0.1,0.9,0.5,0.1,0.2,0.0,0.1,0.6,0.3,0.1,10
Morfologi Bahasa Indonesia,PENDIDIKAN BAHASA DAN SASTRA INDONESIA,0.2,0.2,0.1,0.3,0.1,0.0,0.1,0.1,0.1,0.9,0.5,0.1,0.2,0.0,0.1,0.6,0.3,0.1,10
Kimia Dasar,KIMIA,0.5,0.7,0.3,0.1,0.4,0.9,0.2,0.1,0.2,0.0,0.2,0.1,0.5,0.5,0.2,0.1,0.2,0.1,6
Kimia Organik,KIMIA,0.5,0.7,0.3,0.1,0.4,0.9,0.2,0.1,0.2,0.0,0.2,0.1,0.5,0.5,0.2,0.1,0.2,0.1,6
Kimia Fisika,KIMIA,0.5,0.7,0.3,0.1,0.4,0.9,0.2,0.1,0.2,0.0,0.2,0.1,0.5,0.5,0.2,0.1,0.2,0.1,6
Kimia Analitik,KIMIA,0.5,0.7,0.3,0.1,0.4,0.9,0.2,0.1,0.2,0.0,0.2,0.1,0.5,0.5,0.2,0.1,0.2,0.1,6
Pengantar Sastra Indonesia,SASTRA INDONESIA,0.1,0.1,0.1,0.2,0.1,0.1,0.2,0.2,0.1,0.9,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,10
Teori Sastra,SASTRA INDONESIA,0.1,0.1,0.1,0.2,0.1,0.1,0.2,0.2,0.1,0.9,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,10
Sejarah Sastra Indonesia,SASTRA INDONESIA,0.1,0.1,0.1,0.2,0.1,0.1,0.2,0.2,0.1,0.9,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,10
Kritik Sastra,SASTRA INDONESIA,0.1,0.1,0.1,0.2,0.1,0.1,0.2,0.2,0.1,0.9,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,10
Filologi,SASTRA INDONESIA,0.1,0.1,0.1,0.2,0.1,0.1,0.2,0.2,0.1,0.9,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,10
Pemasaran Pariwisata,PARIWISATA,0.1,0.1,0.1,0.5,0.1,0.1,0.4,0.2,0.1,0.1,0.2,0.2,0.5,0.1,0.1,0.6,0.1,0.2,16
Manajemen Destinasi Pariwisata,PARIWISATA,0.1,0.1,0.1,0.5,0.1,0.1,0.4,0.2,0.1,0.1,0.2,0.2,0.5,0.1,0.1,0.6,0.1,0.2,16
Ekonomi Pariwisata,PARIWISATA,0.1,0.1,0.1,0.5,0.1,0.1,0.4,0.2,0.1,0.1,0.2,0.2,0.5,0.1,0.1,0.6,0.1,0.2,16
Kebijakan Pariwisata,PARIWISATA,0.1,0.1,0.1,0.5,0.1,0.1,0.4,0.2,0.1,0.1,0.2,0.2,0.5,0.1,0.1,0.6,0.1,0.2,16
Perencanaan dan Pengembangan Pariwisata,PARIWISATA,0.1,0.1,0.1,0.5,0.1,0.1,0.4,0.2,0.1,0.1,0.2,0.2,0.5,0.1,0.1,0.6,0.1,0.2,16
Biologi Sel,PENDIDIKAN BIOLOGI,0.2,0.7,0.3,0.3,0.9,0.1,0.2,0.3,0.1,0.1,0.4,0.1,0.8,0.3,0.3,0.2,0.2,0.1,5
Biologi Molekuler,PENDIDIKAN BIOLOGI,0.2,0.7,0.3,0.3,0.9,0.1,0.2,0.3,0.1,0.1,0.4,0.1,0.8,0.3,0.3,0.2,0.2,0.1,5
Zoologi,PENDIDIKAN BIOLOGI,0.2,0.7,0.3,0.3,0.9,0.1,0.2,0.3,0.1,0.1,0.4,0.1,0.8,0.3,0.3,0.2,0.2,0.1,5
Fisiologi Hewan,PENDIDIKAN BIOLOGI,0.2,0.7,0.3,0.3,0.9,0.1,0.2,0.3,0.1,0.1,0.4,0.1,0.8,0.3,0.3,0.2,0.2,0.1,5
Fisiologi Tumbuhan,PENDIDIKAN BIOLOGI,0.2,0.7,0.3,0.3,0.9,0.1,0.2,0.3,0.1,0.1,0.4,0.1,0.8,0.3,0.3,0.2,0.2,0.1,5
Dasar-dasar Agroekoteknologi,AGROEKOTEKNOLOGI,0.2,0.4,0.3,0.0,0.7,0.1,0.3,0.3,0.1,0.0,0.2,0.2,0.5,0.0,0.5,0.3,0.0,0.2,5
Tanaman Pangan,AGROEKOTEKNOLOGI,0.2,0.4,0.3,0.0,0.7,0.1,0.3,0.3,0.1,0.0,0.2,0.2,0.5,0.0,0.5,0.3,0.0,0.2,5
Hortikultura,AGROEKOTEKNOLOGI,0.2,0.4,0.3,0.0,0.7,0.1,0.3,0.3,0.1,0.0,0.2,0.2,0.5,0.0,0.5,0.3,0.0,0.2,5
Anatomi dan Fisiologi Hewan,KEDOKTERAN HEWAN,0.1,0.4,0.1,0.1,0.6,0.1,0.0,0.3,0.1,0.1,0.1,0.1,0.4,0.8,0.3,0.2,0.1,0.1,14
Patologi Veteriner,KEDOKTERAN HEWAN,0.1,0.4,0.1,0.1,0.6,0.1,0.0,0.3,0.1,0.1,0.1,0.1,0.4,0.8,0.3,0.2,0.1,0.1,14
Farmakologi Veteriner,KEDOKTERAN HEWAN,0.1,0.4,0.1,0.1,0.6,0.1,0.0,0.3,0.1,0.1,0.1,0.1,0.4,0.8,0.3,0.2,0.1,0.1,14
Mikrobiologi Veteriner,KEDOKTERAN HEWAN,0.1,0.4,0.1,0.1,0.6,0.1,0.0,0.3,0.1,0.1,0.1,0.1,0.4,0.8,0.3,0.2,0.1,0.1,14
Parasitologi Veteriner,KEDOKTERAN HEWAN,0.1,0.4,0.1,0.1,0.6,0.1,0.0,0.3,0.1,0.1,0.1,0.1,0.4,0.8,0.3,0.2,0.1,0.1,14
Teori Ekonomi Mikro,PENDIDIKAN EKONOMI,0.6,0.2,0.1,0.2,0.1,0.0,0.8,0.1,0.1,0.1,0.3,0.2,0.1,0.2,0.1,0.2,0.1,0.2,7
Teori Ekonomi Makro,PENDIDIKAN EKONOMI,0.6,0.2,0.1,0.2,0.1,0.0,0.8,0.1,0.1,0.1,0.3,0.2,0.1,0.2,0.1,0.2,0.1,0.2,7
Perilaku Konsumen,PENDIDIKAN EKONOMI,0.6,0.2,0.1,0.2,0.1,0.0,0.8,0.1,0.1,0.1,0.3,0.2,0.1,0.2,0.1,0.2,0.1,0.2,7
Ekonomi Moneter,PENDIDIKAN EKONOMI,0.6,0.2,0.1,0.2,0.1,0.0,0.8,0.1,0.1,0.1,0.3,0.2,0.1,0.2,0.1,0.2,0.1,0.2,7
Teori Sejarah,PENDIDIKAN SEJARAH,0.1,0.3,0.1,0.5,0.1,0.1,0.2,0.1,0.1,0.3,0.2,0.3,0.3,0.1,0.2,0.2,0.9,0.3,17
Sejarah Pendidikan,PENDIDIKAN SEJARAH,0.1,0.3,0.1,0.5,0.1,0.1,0.2,0.1,0.1,0.3,0.2,0.3,0.3,0.1,0.2,0.2,0.9,0.3,17
Metode Penelitian Sejarah,PENDIDIKAN SEJARAH,0.1,0.3,0.1,0.5,0.1,0.1,0.2,0.1,0.1,0.3,0.2,0.3,0.3,0.1,0.2,0.2,0.9,0.3,17
Sejarah Indonesia,PENDIDIKAN SEJARAH,0.1,0.3,0.1,0.5,0.1,0.1,0.2,0.1,0.1,0.3,0.2,0.3,0.3,0.1,0.2,0.2,0.9,0.3,17
Sejarah Dunia,PENDIDIKAN SEJARAH,0.1,0.3,0.1,0.5,0.1,0.1,0.2,0.1,0.1,0.3,0.2,0.3,0.3,0.1,0.2,0.2,0.9,0.3,17
Teori Perencanaan Kota,PERENCANAAN WILAYAH DAN KOTA,0.3,0.2,0.2,0.1,0.1,0.1,0.2,0.4,0.3,0.1,0.1,0.3,0.7,0.1,0.7,0.2,0.2,0.3,13
Metode Penelitian Wilayah,PERENCANAAN WILAYAH DAN KOTA,0.3,0.2,0.2,0.1,0.1,0.1,0.2,0.4,0.3,0.1,0.1,0.3,0.7,0.1,0.7,0.2,0.2,0.3,13
Ekonomi Perencanaan,PERENCANAAN WILAYAH DAN KOTA,0.3,0.2,0.2,0.1,0.1,0.1,0.2,0.4,0.3,0.1,0.1,0.3,0.7,0.1,0.7,0.2,0.2,0.3,13
Perancangan Kota,PERENCANAAN WILAYAH DAN KOTA,0.3,0.2,0.2,0.1,0.1,0.1,0.2,0.4,0.3,0.1,0.1,0.3,0.7,0.1,0.7,0.2,0.2,0.3,13
Kebijakan Perkotaan,PERENCANAAN WILAYAH DAN KOTA,0.3,0.2,0.2,0.1,0.1,0.1,0.2,0.4,0.3,0.1,0.1,0.3,0.7,0.1,0.7,0.2,0.2,0.3,13
Mekanika,FISIKA,0.5,0.8,0.9,0.1,0.3,0.2,0.3,0.6,0.2,0.2,0.1,0.1,0.2,0.2,0.3,0.1,0.2,0.1,3
Elektromagnetika,FISIKA,0.5,0.8,0.9,0.1,0.3,0.2,0.3,0.6,0.2,0.2,0.1,0.1,0.2,0.2,0.3,0.1,0.2,0.1,3
Optik,FISIKA,0.5,0.8,0.9,0.1,0.3,0.2,0.3,0.6,0.2,0.2,0.1,0.1,0.2,0.2,0.3,0.1,0.2,0.1,3
Fisika Modern,FISIKA,0.5,0.8,0.9,0.1,0.3,0.2,0.3,0.6,0.2,0.2,0.1,0.1,0.2,0.2,0.3,0.1,0.2,0.1,3
Pemrograman Berorientasi Objek,SEKOLAH TEKNIK ELEKTRO DAN INFORMATIKA - KOMPUTASI (STEI-K),0.7,0.4,0.4,0.1,0.1,0.1,0.3,0.9,0.2,0.1,0.2,0.2,0.1,0.2,0.2,0.3,0.2,0.2,8
Pengantar Administrasi Bisnis,ILMU ADMINISTRASI BISNIS,0.1,0.3,0.1,0.2,0.1,0.0,0.8,0.3,0.1,0.1,0.1,0.3,0.2,0.1,0.2,0.2,0.2,0.3,7
Ekonomi Bisnis,ILMU ADMINISTRASI BISNIS,0.1,0.3,0.1,0.2,0.1,0.0,0.8,0.3,0.1,0.1,0.1,0.3,0.2,0.1,0.2,0.2,0.2,0.3,7
Dasar-dasar Manajemen Sumberdaya Kelautan,ILMU KELAUTAN,0.4,0.4,0.2,0.1,0.6,0.1,0.2,0.1,0.1,0.0,0.3,0.3,0.6,0.2,0.3,0.1,0.2,0.3,5
Oseanografi,ILMU KELAUTAN,0.4,0.4,0.2,0.1,0.6,0.1,0.2,0.1,0.1,0.0,0.3,0.3,0.6,0.2,0.3,0.1,0.2,0.3,5
Pengelolaan Sumberdaya Kelautan,ILMU KELAUTAN,0.4,0.4,0.2,0.1,0.6,0.1,0.2,0.1,0.1,0.0,0.3,0.3,0.6,0.2,0.3,0.1,0.2,0.3,5
Ekologi Laut,ILMU KELAUTAN,0.4,0.4,0.2,0.1,0.6,0.1,0.2,0.1,0.1,0.0,0.3,0.3,0.6,0.2,0.3,0.1,0.2,0.3,5
Perikanan Kelautan,ILMU KELAUTAN,0.4,0.4,0.2,0.1,0.6,0.1,0.2,0.1,0.1,0.0,0.3,0.3,0.6,0.2,0.3,0.1,0.2,0.3,5
Psikologi Industri dan Organisasi,ILMU PSIKOLOGI,0.5,0.1,0.1,0.4,0.4,0.1,0.2,0.2,0.2,0.1,0.2,0.2,0.1,0.7,0.2,0.2,0.2,0.2,14
Neuropsikologi,ILMU PSIKOLOGI,0.5,0.1,0.1,0.4,0.4,0.1,0.2,0.2,0.2,0.1,0.2,0.2,0.1,0.7,0.2,0.2,0.2,0.2,14
Linguistik Dasar,PENDIDIKAN BAHASA INDONESIA,0.1,0.1,0.1,0.3,0.1,0.1,0.1,0.1,0.3,0.9,0.4,0.1,0.2,0.2,0.1,0.2,0.2,0.1,10
