KODE,NAMA,JENJANG,DAYA TAMPUNG 2024,PEMINAT 2023,JENIS PORTOFOLIO,PERGURUAN TINGGI
321062,BAHASA DAN KEBUDAYAAN KOREA,Sarjana,17,563,Tidak Ada,UNIVERSITAS INDONESIA
321063,EKONOMI ISLAM,Sarjana,17,338,Tidak Ada,UNIVERSITAS INDONESIA
321064,BISNIS ISLAM,Sarjana,17,439,Tidak Ada,UNIVERSITAS INDONESIA
321065,MANAJEMEN BISNIS PARIWISATA,Sarjana Terapan,38,520,Tidak Ada,UNIVERSITAS INDONESIA
321066,TERAPI OKUPASI,Sarjana Terapan,38,181,Tidak Ada,UNIVERSITAS INDONESIA
321067,FISIOTERAPI,Sarjana Terapan,38,408,Tidak Ada,UNIVERSITAS INDONESIA
321068,MANAJEMEN REKOD DAN ARSIP,Sarjana Terapan,38,338,Tidak Ada,UNIVERSITAS INDONESIA
321078,BISNIS KREATIF,Sarjana Terapan,38,764,Tidak Ada,UNIVERSITAS INDONESIA
321079,PRODUKSI MEDIA,Sarjana Terapan,38,602,Tidak Ada,UNIVERSITAS INDONESIA
321069,ADMINISTRASI PERPAJAKAN,Diploma Tiga,30,341,Tidak Ada,UNIVERSITAS INDONESIA
321070,ADMINISTRASI PERKANTORAN,Diploma Tiga,30,193,Tidak Ada,UNIVERSITAS INDONESIA
321071,ADMINISTRASI RUMAH SAKIT,Diploma Tiga,30,209,Tidak Ada,UNIVERSITAS INDONESIA
321072,PENYIARAN MULTIMEDIA,Diploma Tiga,30,189,Tidak Ada,UNIVERSITAS INDONESIA
321073,ADMINISTRASI ASURANSI DAN AKTUARIA,Diploma Tiga,30,75,Tidak Ada,UNIVERSITAS INDONESIA
321074,HUBUNGAN MASYARAKAT,Diploma Tiga,30,231,Tidak Ada,UNIVERSITAS INDONESIA
321075,PERIKLANAN KREATIF,Diploma Tiga,30,230,Tidak Ada,UNIVERSITAS INDONESIA
321076,AKUNTANSI,Diploma Tiga,30,183,Tidak Ada,UNIVERSITAS INDONESIA
321077,ADMINISTRASI KEUANGAN DAN PERBANKAN,Diploma Tiga,30,142,Tidak Ada,UNIVERSITAS INDONESIA
323001,PENDIDIKAN MATEMATIKA,Sarjana,36,342,Tidak Ada,UNIVERSITAS NEGERI JAKARTA
323002,PENDIDIKAN FISIKA,Sarjana,36,107,Tidak Ada,UNIVERSITAS NEGERI JAKARTA
323003,PENDIDIKAN KIMIA,Sarjana,36,116,Tidak Ada,UNIVERSITAS NEGERI JAKARTA
323004,PENDIDIKAN BIOLOGI,Sarjana,36,254,Tidak Ada,UNIVERSITAS NEGERI JAKARTA
323005,MATEMATIKA,Sarjana,36,304,Tidak Ada,UNIVERSITAS NEGERI JAKARTA
323006,FISIKA,Sarjana,36,166,Tidak Ada,UNIVERSITAS NEGERI JAKARTA
323007,KIMIA,Sarjana,36,202,Tidak Ada,UNIVERSITAS NEGERI JAKARTA
323008,BIOLOGI,Sarjana,36,285,Tidak Ada,UNIVERSITAS NEGERI JAKARTA
323009,PENDIDIKAN VOKASIONAL TEKNIK ELEKTRO,Sarjana,36,186,Tidak Ada,UNIVERSITAS NEGERI JAKARTA
323010,PENDIDIKAN VOKASIONAL TEKNIK MESIN,Sarjana,36,138,Tidak Ada,UNIVERSITAS NEGERI JAKARTA
323011,PENDIDIKAN VOKASIONAL KONSTRUKSI BANGUNAN,Sarjana,36,145,Tidak Ada,UNIVERSITAS NEGERI JAKARTA
323012,ILMU KEOLAHRAGAAN,Sarjana,54,223,Pendidikan Jasmani dan Olahraga,UNIVERSITAS NEGERI JAKARTA
323013,PENDIDIKAN TEKNIK INFORMATIKA,Sarjana,18,608,Tidak Ada,UNIVERSITAS NEGERI JAKARTA
323014,PENDIDIKAN VOKASIONAL TEKNIK ELEKTRONIKA,Sarjana,18,159,Tidak Ada,UNIVERSITAS NEGERI JAKARTA
323015,ILMU KOMPUTER,Sarjana,36,1479,Tidak Ada,UNIVERSITAS NEGERI JAKARTA
323016,STATISTIKA,Sarjana,36,542,Tidak Ada,UNIVERSITAS NEGERI JAKARTA
323017,REKAYASA KESELAMATAN KEBAKARAN,Sarjana,36,240,Tidak Ada,UNIVERSITAS NEGERI JAKARTA
323018,TEKNIK MESIN,Sarjana,36,683,Tidak Ada,UNIVERSITAS NEGERI JAKARTA
323019,SISTEM DAN TEKNOLOGI INFORMASI,Sarjana,18,1294,Tidak Ada,UNIVERSITAS NEGERI JAKARTA
323020,TEKNOLOGI PENDIDIKAN,Sarjana,45,267,Tidak Ada,UNIVERSITAS NEGERI JAKARTA
323021,PENDIDIKAN KHUSUS,Sarjana,54,267,Tidak Ada,UNIVERSITAS NEGERI JAKARTA
323022,MANAJEMEN PENDIDIKAN,Sarjana,55,573,Tidak Ada,UNIVERSITAS NEGERI JAKARTA
323023,PENDIDIKAN MASYARAKAT,Sarjana,54,474,Tidak Ada,UNIVERSITAS NEGERI JAKARTA
323024,PENDIDIKAN ANAK USIA DINI,Sarjana,45,573,Tidak Ada,UNIVERSITAS NEGERI JAKARTA
323025,BIMBINGAN DAN KONSELING,Sarjana,45,899,Tidak Ada,UNIVERSITAS NEGERI JAKARTA
323026,PENDIDIKAN GURU SEKOLAH DASAR,Sarjana,68,1638,Tidak Ada,UNIVERSITAS NEGERI JAKARTA
323027,PSIKOLOGI,Sarjana,180,3533,Tidak Ada,UNIVERSITAS NEGERI JAKARTA
323028,PENDIDIKAN BAHASA INDONESIA,Sarjana,45,539,Tidak Ada,UNIVERSITAS NEGERI JAKARTA
323029,SASTRA INDONESIA,Sarjana,45,661,Tidak Ada,UNIVERSITAS NEGERI JAKARTA
323030,PENDIDIKAN BAHASA INGGRIS,Sarjana,68,608,Tidak Ada,UNIVERSITAS NEGERI JAKARTA
323031,SASTRA INGGRIS,Sarjana,90,1137,Tidak Ada,UNIVERSITAS NEGERI JAKARTA
323032,PENDIDIKAN BAHASA PRANCIS,Sarjana,45,155,Tidak Ada,UNIVERSITAS NEGERI JAKARTA
323033,PENDIDIKAN BAHASA JERMAN,Sarjana,45,120,Tidak Ada,UNIVERSITAS NEGERI JAKARTA
323034,PENDIDIKAN BAHASA ARAB,Sarjana,65,490,Tidak Ada,UNIVERSITAS NEGERI JAKARTA
323035,PENDIDIKAN BAHASA JEPANG,Sarjana,45,454,Tidak Ada,UNIVERSITAS NEGERI JAKARTA
323036,PENDIDIKAN TARI,Sarjana,45,92,Tari,UNIVERSITAS NEGERI JAKARTA
323037,PENDIDIKAN MUSIK,Sarjana,68,106,Musik,UNIVERSITAS NEGERI JAKARTA
323038,PENDIDIKAN SENI RUPA,Sarjana,45,156,"Seni Rupa, Desain, dan Kriya",UNIVERSITAS NEGERI JAKARTA
323039,PENDIDIKAN PANCASLA DAN KEWARGANEGARAAN,Sarjana,68,285,Tidak Ada,UNIVERSITAS NEGERI JAKARTA
323040,PENDIDIKAN GEOGRAFI,Sarjana,54,272,Tidak Ada,UNIVERSITAS NEGERI JAKARTA
323041,PENDIDIKAN SEJARAH,Sarjana,49,368,Tidak Ada,UNIVERSITAS NEGERI JAKARTA
323042,PENDIDIKAN AGAMA ISLAM,Sarjana,68,1014,Tidak Ada,UNIVERSITAS NEGERI JAKARTA
323043,SOSIOLOGI,Sarjana,45,579,Tidak Ada,UNIVERSITAS NEGERI JAKARTA
323044,PENDIDIKAN SOSIOLOGI,Sarjana,45,318,Tidak Ada,UNIVERSITAS NEGERI JAKARTA
323045,PENDIDIKAN VOKASIONAL KESEJAHTERAAN KELUARGA,Sarjana,41,196,Tidak Ada,UNIVERSITAS NEGERI JAKARTA
323046,PENDIDIKAN JASMANI,Sarjana,113,317,Pendidikan Jasmani dan Olahraga,UNIVERSITAS NEGERI JAKARTA
323047,PENDIDIKAN KEPELATIHAN OLAHRAGA,Sarjana,68,288,Pendidikan Jasmani dan Olahraga,UNIVERSITAS NEGERI JAKARTA
323048,PENDIDIKAN EKONOMI,Sarjana,45,400,Tidak Ada,UNIVERSITAS NEGERI JAKARTA
323049,MANAJEMEN,Sarjana,86,3060,Tidak Ada,UNIVERSITAS NEGERI JAKARTA
323050,AKUNTANSI,Sarjana,68,2097,Tidak Ada,UNIVERSITAS NEGERI JAKARTA
323051,PENDIDIKAN ILMU PENGETAHUAN SOSIAL,Sarjana,45,264,Tidak Ada,UNIVERSITAS NEGERI JAKARTA
323052,PENDIDIKAN VOKASIONAL SENI KULINER,Sarjana,34,685,Tidak Ada,UNIVERSITAS NEGERI JAKARTA
323053,PENDIDIKAN VOKASIONAL DESAIN FASHION,Sarjana,34,362,Tidak Ada,UNIVERSITAS NEGERI JAKARTA
323054,PENDIDIKAN VOKASIONAL TATA RIAS,Sarjana,32,509,Tidak Ada,UNIVERSITAS NEGERI JAKARTA
323055,PENDIDIKAN BISNIS,Sarjana,45,491,Tidak Ada,UNIVERSITAS NEGERI JAKARTA
323056,PENDIDIKAN BAHASA MANDARIN,Sarjana,45,182,Tidak Ada,UNIVERSITAS NEGERI JAKARTA
323057,PENDIDIKAN ADMINISTRASI PERKANTORAN,Sarjana,45,727,Tidak Ada,UNIVERSITAS NEGERI JAKARTA
323058,OLAHRAGA REKREASI,Sarjana,45,70,Pendidikan Jasmani dan Olahraga,UNIVERSITAS NEGERI JAKARTA
323059,KEPELATIHAN KECABANGAN OLAHRAGA,Sarjana,41,146,Pendidikan Jasmani dan Olahraga,UNIVERSITAS NEGERI JAKARTA
323060,ILMU KOMUNIKASI,Sarjana,36,3176,Tidak Ada,UNIVERSITAS NEGERI JAKARTA
323061,GEOGRAFI,Sarjana,45,331,Tidak Ada,UNIVERSITAS NEGERI JAKARTA
323062,BISNIS DIGITAL,Sarjana,61,1607,Tidak Ada,UNIVERSITAS NEGERI JAKARTA
323063,PENDIDIKAN AKUNTANSI,Sarjana,45,243,Tidak Ada,UNIVERSITAS NEGERI JAKARTA
323064,HUBUNGAN MASYARAKAT DAN KOMUNIKASI DIGITAL,Sarjana Terapan,45,1021,Tidak Ada,UNIVERSITAS NEGERI JAKARTA
323065,USAHA PERJALANAN WISATA,Sarjana Terapan,45,440,Tidak Ada,UNIVERSITAS NEGERI JAKARTA
323066,TEKNOLOGI REKAYASA OTOMASI,Sarjana Terapan,36,45,Tidak Ada,UNIVERSITAS NEGERI JAKARTA
323067,TEKNOLOGI REKAYASA MANUFAKTUR,Sarjana Terapan,36,52,Tidak Ada,UNIVERSITAS NEGERI JAKARTA
323068,TEKNOLOGI REKAYASA KONSTRUKSI BANGUNAN GEDUNG,Sarjana Terapan,36,138,Tidak Ada,UNIVERSITAS NEGERI JAKARTA
323069,MANAJEMEN PELABUHAN DAN LOGISTIK MARITIM,Sarjana Terapan,45,436,Tidak Ada,UNIVERSITAS NEGERI JAKARTA
323070,SENI KULINER DAN PENGOLAHAN JASA MAKANAN,Sarjana Terapan,34,850,Tidak Ada,UNIVERSITAS NEGERI JAKARTA
323071,DESAIN MODE,Sarjana Terapan,34,298,Tidak Ada,UNIVERSITAS NEGERI JAKARTA
323072,KOSMETIK DAN PERAWATAN KECANTIKAN,Sarjana Terapan,34,313,Tidak Ada,UNIVERSITAS NEGERI JAKARTA
323073,PEMASARAN DIGITAL,Sarjana Terapan,45,444,Tidak Ada,UNIVERSITAS NEGERI JAKARTA
323074,ADMINISTRASI PERKANTORAN DIGITAL,Sarjana Terapan,45,751,Tidak Ada,UNIVERSITAS NEGERI JAKARTA
323075,AKUNTANSI SEKTOR PUBLIK,Sarjana Terapan,45,398,Tidak Ada,UNIVERSITAS NEGERI JAKARTA
324001,TEKNIK MESIN,Sarjana,68,616,Tidak Ada,"UPN ""VETERAN"" JAKARTA"
324002,TEKNIK PERKAPALAN,Sarjana,35,295,Tidak Ada,"UPN ""VETERAN"" JAKARTA"
324003,TEKNIK INDUSTRI,Sarjana,70,1133,Tidak Ada,"UPN ""VETERAN"" JAKARTA"
324004,TEKNIK INFORMATIKA,Sarjana,88,1880,Tidak Ada,"UPN ""VETERAN"" JAKARTA"
324005,SISTEM INFORMASI,Sarjana,105,1647,Tidak Ada,"UPN ""VETERAN"" JAKARTA"
324006,KEDOKTERAN,Sarjana,103,3175,Tidak Ada,"UPN ""VETERAN"" JAKARTA"
324007,KEPERAWATAN,Sarjana,70,1330,Tidak Ada,"UPN ""VETERAN"" JAKARTA"
324008,KESEHATAN MASYARAKAT,Sarjana,105,1578,Tidak Ada,"UPN ""VETERAN"" JAKARTA"
324009,GIZI,Sarjana,70,1350,Tidak Ada,"UPN ""VETERAN"" JAKARTA"
324010,TEKNIK ELEKTRO,Sarjana,53,538,Tidak Ada,"UPN ""VETERAN"" JAKARTA"
324011,FARMASI,Sarjana,30,1119,Tidak Ada,"UPN ""VETERAN"" JAKARTA"
324012,FISIOTERAPI,Sarjana,35,489,Tidak Ada,"UPN ""VETERAN"" JAKARTA"
324013,MANAJEMEN,Sarjana,160,3056,Tidak Ada,"UPN ""VETERAN"" JAKARTA"
324014,AKUNTANSI,Sarjana,135,2343,Tidak Ada,"UPN ""VETERAN"" JAKARTA"
324015,ILMU HUBUNGAN INTERNASIONAL,Sarjana,120,1758,Tidak Ada,"UPN ""VETERAN"" JAKARTA"
324016,ILMU KOMUNIKASI,Sarjana,180,3728,Tidak Ada,"UPN ""VETERAN"" JAKARTA"
324017,ILMU HUKUM,Sarjana,240,2815,Tidak Ada,"UPN ""VETERAN"" JAKARTA"
324018,EKONOMI PEMBANGUNAN,Sarjana,60,927,Tidak Ada,"UPN ""VETERAN"" JAKARTA"
324019,EKONOMI SYARIAH,Sarjana,60,723,Tidak Ada,"UPN ""VETERAN"" JAKARTA"
324020,ILMU POLITIK,Sarjana,100,927,Tidak Ada,"UPN ""VETERAN"" JAKARTA"
324028,SAINS INFORMASI,Sarjana,60,267,Tidak Ada,"UPN ""VETERAN"" JAKARTA"
324021,KEPERAWATAN,Diploma Tiga,35,420,Tidak Ada,"UPN ""VETERAN"" JAKARTA"
324022,FISIOTERAPI,Diploma Tiga,35,193,Tidak Ada,"UPN ""VETERAN"" JAKARTA"
324024,SISTEM INFORMASI,Diploma Tiga,70,181,Tidak Ada,"UPN ""VETERAN"" JAKARTA"
324025,PERBANKAN DAN KEUANGAN,Diploma Tiga,60,221,Tidak Ada,"UPN ""VETERAN"" JAKARTA"
324026,AKUNTANSI,Diploma Tiga,55,149,Tidak Ada,"UPN ""VETERAN"" JAKARTA"
331001,AGROTEKNOLOGI,Sarjana,80,325,Tidak Ada,UNIVERSITAS SINGAPERBANGSA KARAWANG
331002,TEKNIK INDUSTRI,Sarjana,72,891,Tidak Ada,UNIVERSITAS SINGAPERBANGSA KARAWANG
331003,TEKNIK MESIN,Sarjana,48,330,Tidak Ada,UNIVERSITAS SINGAPERBANGSA KARAWANG
331004,TEKNIK ELEKTRO,Sarjana,60,318,Tidak Ada,UNIVERSITAS SINGAPERBANGSA KARAWANG
331005,TEKNIK INFORMATIKA,Sarjana,72,991,Tidak Ada,UNIVERSITAS SINGAPERBANGSA KARAWANG
331006,PENDIDIKAN MATEMATIKA,Sarjana,84,232,Tidak Ada,UNIVERSITAS SINGAPERBANGSA KARAWANG
331007,AGRIBISNIS,Sarjana,60,419,Tidak Ada,UNIVERSITAS SINGAPERBANGSA KARAWANG
331008,FARMASI,Sarjana,32,795,Tidak Ada,UNIVERSITAS SINGAPERBANGSA KARAWANG
331009,GIZI,Sarjana,32,565,Tidak Ada,UNIVERSITAS SINGAPERBANGSA KARAWANG
331010,TEKNIK KIMIA,Sarjana,28,177,Tidak Ada,UNIVERSITAS SINGAPERBANGSA KARAWANG
331011,ILMU KEOLAHRAGAAN,Sarjana,32,80,Pendidikan Jasmani dan Olahraga,UNIVERSITAS SINGAPERBANGSA KARAWANG
331012,SISTEM INFORMASI,Sarjana,48,660,Tidak Ada,UNIVERSITAS SINGAPERBANGSA KARAWANG
331013,TEKNIK LINGKUNGAN,Sarjana,28,275,Tidak Ada,UNIVERSITAS SINGAPERBANGSA KARAWANG
331014,ILMU HUKUM,Sarjana,120,742,Tidak Ada,UNIVERSITAS SINGAPERBANGSA KARAWANG
331015,MANAJEMEN,Sarjana,112,1327,Tidak Ada,UNIVERSITAS SINGAPERBANGSA KARAWANG
331016,AKUNTANSI,Sarjana,98,966,Tidak Ada,UNIVERSITAS SINGAPERBANGSA KARAWANG
331017,PENDIDIKAN MASYARAKAT,Sarjana,42,344,Tidak Ada,UNIVERSITAS SINGAPERBANGSA KARAWANG
331018,PENDIDIKAN BAHASA INGGRIS,Sarjana,70,396,Tidak Ada,UNIVERSITAS SINGAPERBANGSA KARAWANG
331019,PENDIDIKAN JASMANI KESEHATAN DAN REKREASI,Sarjana,70,150,Pendidikan Jasmani dan Olahraga,UNIVERSITAS SINGAPERBANGSA KARAWANG
331020,PENDIDIKAN BAHASA DAN SASTRA INDONESIA,Sarjana,70,481,Tidak Ada,UNIVERSITAS SINGAPERBANGSA KARAWANG
331021,ILMU PEMERINTAHAN,Sarjana,70,532,Tidak Ada,UNIVERSITAS SINGAPERBANGSA KARAWANG
331022,ILMU KOMUNIKASI,Sarjana,70,1273,Tidak Ada,UNIVERSITAS SINGAPERBANGSA KARAWANG
331023,ILMU HUBUNGAN INTERNASIONAL,Sarjana,28,439,Tidak Ada,UNIVERSITAS SINGAPERBANGSA KARAWANG
331024,AKUNTANSI,Diploma Tiga,42,84,Tidak Ada,UNIVERSITAS SINGAPERBANGSA KARAWANG
331025,TEKNIK MESIN,Diploma Tiga,32,68,Tidak Ada,UNIVERSITAS SINGAPERBANGSA KARAWANG
331026,KEBIDANAN,Diploma Tiga,36,227,Tidak Ada,UNIVERSITAS SINGAPERBANGSA KARAWANG
333001,PENDIDIKAN DOKTER,Sarjana,87,3856,Tidak Ada,UNIVERSITAS PADJADJARAN
333002,MATEMATIKA,Sarjana,44,274,Tidak Ada,UNIVERSITAS PADJADJARAN
333003,KIMIA,Sarjana,33,284,Tidak Ada,UNIVERSITAS PADJADJARAN
333004,FISIKA,Sarjana,36,146,Tidak Ada,UNIVERSITAS PADJADJARAN
333005,BIOLOGI,Sarjana,39,300,Tidak Ada,UNIVERSITAS PADJADJARAN
333006,STATISTIKA,Sarjana,33,698,Tidak Ada,UNIVERSITAS PADJADJARAN
333007,AGROTEKNOLOGI,Sarjana,132,824,Tidak Ada,UNIVERSITAS PADJADJARAN
333008,AGRIBISNIS,Sarjana,64,666,Tidak Ada,UNIVERSITAS PADJADJARAN
333009,PENDIDIKAN DOKTER GIGI,Sarjana,36,1279,Tidak Ada,UNIVERSITAS PADJADJARAN
333010,ILMU PETERNAKAN,Sarjana,117,734,Tidak Ada,UNIVERSITAS PADJADJARAN
333011,PERIKANAN,Sarjana,88,433,Tidak Ada,UNIVERSITAS PADJADJARAN
333012,KEPERAWATAN,Sarjana,66,1638,Tidak Ada,UNIVERSITAS PADJADJARAN
333013,ILMU KELAUTAN,Sarjana,42,446,Tidak Ada,UNIVERSITAS PADJADJARAN
333014,TEKNOLOGI PANGAN,Sarjana,48,1037,Tidak Ada,UNIVERSITAS PADJADJARAN
333015,TEKNIK PERTANIAN,Sarjana,52,399,Tidak Ada,UNIVERSITAS PADJADJARAN
333016,FARMASI,Sarjana,60,1980,Tidak Ada,UNIVERSITAS PADJADJARAN
333017,TEKNIK GEOLOGI,Sarjana,60,986,Tidak Ada,UNIVERSITAS PADJADJARAN
333018,PSIKOLOGI,Sarjana,63,3079,Tidak Ada,UNIVERSITAS PADJADJARAN
333019,GEOFISIKA,Sarjana,28,271,Tidak Ada,UNIVERSITAS PADJADJARAN
333020,TEKNIK INFORMATIKA,Sarjana,33,2514,Tidak Ada,UNIVERSITAS PADJADJARAN
333021,TEKNOLOGI INDUSTRI PERTANIAN,Sarjana,36,381,Tidak Ada,UNIVERSITAS PADJADJARAN
333022,TEKNIK ELEKTRO,Sarjana,21,389,Tidak Ada,UNIVERSITAS PADJADJARAN
333023,KEDOKTERAN HEWAN,Sarjana,18,512,Tidak Ada,UNIVERSITAS PADJADJARAN
333028,ILMU AKTUARIA,Sarjana,18,540,Tidak Ada,UNIVERSITAS PADJADJARAN
333030,PERIKANAN,Sarjana,28,114,Tidak Ada,UNIVERSITAS PADJADJARAN
333031,PETERNAKAN,Sarjana,16,87,Tidak Ada,UNIVERSITAS PADJADJARAN
333032,KEPERAWATAN,Sarjana,20,283,Tidak Ada,UNIVERSITAS PADJADJARAN
333033,ILMU HUKUM,Sarjana,147,3406,Tidak Ada,UNIVERSITAS PADJADJARAN
333034,AKUNTANSI,Sarjana,45,1569,Tidak Ada,UNIVERSITAS PADJADJARAN
333035,ILMU EKONOMI,Sarjana,52,652,Tidak Ada,UNIVERSITAS PADJADJARAN
333036,MANAJEMEN,Sarjana,39,2233,Tidak Ada,UNIVERSITAS PADJADJARAN
333037,ADMINISTRASI PUBLIK,Sarjana,24,780,Tidak Ada,UNIVERSITAS PADJADJARAN
333038,ILMU HUBUNGAN INTERNASIONAL,Sarjana,39,1610,Tidak Ada,UNIVERSITAS PADJADJARAN
333039,ILMU KESEJAHTERAAN SOSIAL,Sarjana,21,547,Tidak Ada,UNIVERSITAS PADJADJARAN
333040,ILMU PEMERINTAHAN,Sarjana,24,667,Tidak Ada,UNIVERSITAS PADJADJARAN
333041,ANTROPOLOGI,Sarjana,15,338,Tidak Ada,UNIVERSITAS PADJADJARAN
333042,ILMU ADMINISTRASI BISNIS,Sarjana,30,994,Tidak Ada,UNIVERSITAS PADJADJARAN
333043,SASTRA INDONESIA,Sarjana,36,484,Tidak Ada,UNIVERSITAS PADJADJARAN
333044,SASTRA SUNDA,Sarjana,36,262,Tidak Ada,UNIVERSITAS PADJADJARAN
333045,ILMU SEJARAH,Sarjana,48,348,Tidak Ada,UNIVERSITAS PADJADJARAN
333046,SASTRA INGGRIS,Sarjana,39,990,Tidak Ada,UNIVERSITAS PADJADJARAN
333047,SASTRA PERANCIS,Sarjana,28,195,Tidak Ada,UNIVERSITAS PADJADJARAN
333048,SASTRA JEPANG,Sarjana,39,738,Tidak Ada,UNIVERSITAS PADJADJARAN
333049,SASTRA RUSIA,Sarjana,24,125,Tidak Ada,UNIVERSITAS PADJADJARAN
333050,SASTRA JERMAN,Sarjana,24,215,Tidak Ada,UNIVERSITAS PADJADJARAN
333051,SASTRA ARAB,Sarjana,48,458,Tidak Ada,UNIVERSITAS PADJADJARAN
333052,ILMU KOMUNIKASI,Sarjana,36,2533,Tidak Ada,UNIVERSITAS PADJADJARAN
333053,PERPUSTAKAAN DAN SAINS INFORMASI,Sarjana,44,602,Tidak Ada,UNIVERSITAS PADJADJARAN
333054,SOSIOLOGI,Sarjana,15,329,Tidak Ada,UNIVERSITAS PADJADJARAN
333055,ILMU POLITIK,Sarjana,18,462,Tidak Ada,UNIVERSITAS PADJADJARAN
333056,HUBUNGAN MASYARAKAT,Sarjana,33,1037,Tidak Ada,UNIVERSITAS PADJADJARAN
333057,EKONOMI ISLAM,Sarjana,42,520,Tidak Ada,UNIVERSITAS PADJADJARAN
333058,MANAJEMEN KOMUNIKASI,Sarjana,33,1148,Tidak Ada,UNIVERSITAS PADJADJARAN
333059,JURNALISTIK,Sarjana,33,544,Tidak Ada,UNIVERSITAS PADJADJARAN
333060,FILM DAN TELEVISI,Sarjana,33,855,Tidak Ada,UNIVERSITAS PADJADJARAN
333064,BISNIS DIGITAL,Sarjana,27,1756,Tidak Ada,UNIVERSITAS PADJADJARAN
333065,ADMINISTRASI BISNIS,Sarjana,16,180,Tidak Ada,UNIVERSITAS PADJADJARAN
333066,ILMU KOMUNIKASI,Sarjana,20,182,Tidak Ada,UNIVERSITAS PADJADJARAN
334001,PENDIDIKAN MATEMATIKA,Sarjana,45,455,Tidak Ada,UNIVERSITAS PENDIDIKAN INDONESIA
334002,PENDIDIKAN FISIKA,Sarjana,45,185,Tidak Ada,UNIVERSITAS PENDIDIKAN INDONESIA
334003,PENDIDIKAN BIOLOGI,Sarjana,40,316,Tidak Ada,UNIVERSITAS PENDIDIKAN INDONESIA
334004,PENDIDIKAN KIMIA,Sarjana,38,157,Tidak Ada,UNIVERSITAS PENDIDIKAN INDONESIA
334005,PENDIDIKAN ILMU KOMPUTER,Sarjana,55,346,Tidak Ada,UNIVERSITAS PENDIDIKAN INDONESIA
334006,MATEMATIKA,Sarjana,45,321,Tidak Ada,UNIVERSITAS PENDIDIKAN INDONESIA
334007,FISIKA,Sarjana,45,174,Tidak Ada,UNIVERSITAS PENDIDIKAN INDONESIA
334008,BIOLOGI,Sarjana,34,263,Tidak Ada,UNIVERSITAS PENDIDIKAN INDONESIA
334009,KIMIA,Sarjana,50,254,Tidak Ada,UNIVERSITAS PENDIDIKAN INDONESIA
334010,ILMU KOMPUTER,Sarjana,24,1171,Tidak Ada,UNIVERSITAS PENDIDIKAN INDONESIA
334011,PENDIDIKAN TEKNIK ARSITEKTUR,Sarjana,32,218,Tidak Ada,UNIVERSITAS PENDIDIKAN INDONESIA
334012,PENDIDIKAN TEKNIK BANGUNAN,Sarjana,32,139,Tidak Ada,UNIVERSITAS PENDIDIKAN INDONESIA
334013,PENDIDIKAN TEKNIK ELEKTRO,Sarjana,30,109,Tidak Ada,UNIVERSITAS PENDIDIKAN INDONESIA
334014,PENDIDIKAN TEKNIK MESIN,Sarjana,35,208,Tidak Ada,UNIVERSITAS PENDIDIKAN INDONESIA
334015,ILMU KEOLAHRAGAAN,Sarjana,53,305,Pendidikan Jasmani dan Olahraga,UNIVERSITAS PENDIDIKAN INDONESIA
334016,TEKNIK ELEKTRO,Sarjana,30,316,Tidak Ada,UNIVERSITAS PENDIDIKAN INDONESIA
334017,PENDIDIKAN TEKNOLOGI AGRO INDUSTRI,Sarjana,28,161,Tidak Ada,UNIVERSITAS PENDIDIKAN INDONESIA
334018,TEKNIK SIPIL,Sarjana,40,791,Tidak Ada,UNIVERSITAS PENDIDIKAN INDONESIA
334019,PENDIDIKAN ILMU PENGETAHUAN ALAM,Sarjana,15,132,Tidak Ada,UNIVERSITAS PENDIDIKAN INDONESIA
334020,ARSITEKTUR,Sarjana,20,756,Tidak Ada,UNIVERSITAS PENDIDIKAN INDONESIA
334021,PENDIDIKAN KELAUTAN DAN PERIKANAN,Sarjana,65,99,Tidak Ada,UNIVERSITAS PENDIDIKAN INDONESIA
334022,PENDIDIKAN MULTIMEDIA,Sarjana,47,342,Tidak Ada,UNIVERSITAS PENDIDIKAN INDONESIA
334023,PENDIDIKAN SISTEM DAN TEKNOLOGI INFORMASI,Sarjana,43,202,Tidak Ada,UNIVERSITAS PENDIDIKAN INDONESIA
334024,PENDIDIKAN TEKNIK OTOMOTIF,Sarjana,45,204,Tidak Ada,UNIVERSITAS PENDIDIKAN INDONESIA
334025,SISTEM INFORMASI KELAUTAN,Sarjana,65,130,Tidak Ada,UNIVERSITAS PENDIDIKAN INDONESIA
334026,KEPELATIHAN FISIK OLAHRAGA,Sarjana,50,227,Pendidikan Jasmani dan Olahraga,UNIVERSITAS PENDIDIKAN INDONESIA
334027,TEKNOLOGI REKAYASA PERANGKAT LUNAK,Sarjana,48,429,Tidak Ada,UNIVERSITAS PENDIDIKAN INDONESIA
334028,TEKNIK TELEKOMUNIKASI,Sarjana,58,218,Tidak Ada,UNIVERSITAS PENDIDIKAN INDONESIA
334029,KEPERAWATAN,Sarjana,64,765,Tidak Ada,UNIVERSITAS PENDIDIKAN INDONESIA
334030,TEKNIK LOGISTIK,Sarjana,45,439,Tidak Ada,UNIVERSITAS PENDIDIKAN INDONESIA
334031,PENDIDIKAN TEKNIK OTOMASI INDUSTRI DAN ROBOTIKA,Sarjana,20,90,Tidak Ada,UNIVERSITAS PENDIDIKAN INDONESIA
334032,TEKNIK KOMPUTER,Sarjana,55,447,Tidak Ada,UNIVERSITAS PENDIDIKAN INDONESIA
