ID,NAMA,PEMINAT 2023,Description,for_who,Mata Kuliah,Matematika,Sains,Fisika,Sosiologi,Biologi,Kimia,Teknologi,Bisnis dan Ekonomi,Seni,Sastra dan Linguistik,Pendidikan,Lingkungan,Kesehatan,Geografi,Komunikasi,Sejarah dan Filsafat,Hukum
115,BAHASA DAN SASTRA INDONESIA,1667,"Bahasa dan Sastra Indonesia adalah jurusan kuliah yang mempelajari bahasa Indonesia dan sastra Indonesia secara mendalam. Jurusan ini membantu mahasiswa untuk memahami dan menguasai berbagai aspek bahasa Indonesia, termasuk tata bahasa, kosakata, dan semantik. Selain itu, mahasiswa juga belajar tentang sastra Indonesia, karya sastra terkenal, dan analisis kritis terhadap karya sastra tersebut.

Mahasiswa jurusan ini juga akan diajarkan berbagai metode penelitian dalam bidang bahasa dan sastra Indonesia, serta keterampilan dalam menulis dan berbicara dengan bahasa Indonesia yang baik dan benar. Dengan mempelajari bahasa dan sastra Indonesia, mahasiswa akan menjadi ahli dalam bidang ini dan memiliki kesempatan untuk mengembangkan kreativitas mereka dalam menulis dan menganalisis karya sastra. Selain itu, lulusan jurusan ini memiliki peluang karir yang luas, seperti menjadi penulis, editor, penerjemah, guru bahasa Indonesia, dan berbagai profesi lain yang membutuhkan keahlian dalam bahasa dan sastra Indonesia.","Jurusan Bahasa dan Sastra Indonesia adalah jurusan yang cocok untuk orang yang memiliki minat dalam bidang bahasa dan sastra Indonesia. Jurusan ini mempelajari berbagai aspek bahasa Indonesia, termasuk tata bahasa, kosakata, dan struktur kalimat. Selain itu, juga mempelajari karya-karya sastra Indonesia, baik sastra klasik maupun kontemporer. Orang yang memilih jurusan ini biasanya memiliki minat dalam membaca, menulis, berbicara, dan menganalisis karya-karya sastra. Mereka juga cenderung memiliki kepekaan terhadap keindahan bahasa dan nilai-nilai budaya yang terkandung dalam karya sastra Indonesia.","1. Bahasa Indonesia
2. Sastra Indonesia
3. Linguistik
4. Fonetik
5. Morfologi
6. Sintaksis
7. Semantik
8. Pragmatik
9. Sastra daerah
",0.00,0.00,0.00,0.30,0.00,0.00,0.10,0.00,0.30,1.00,0.50,0.10,0.00,0.00,0.20,0.20,0.00
116,ILMU AKTUARIA,1644,"Ilmu Aktuaria merupakan sebuah disiplin ilmu yang mempelajari tentang manajemen risiko, analisis keuangan, dan statistik untuk membantu mengambil keputusan yang tepat dalam bidang asuransi, investasi, dan keuangan. Para mahasiswa Ilmu Aktuaria akan mempelajari berbagai konsep matematika dan statistika serta menerapkan pengetahuan tersebut dalam mengidentifikasi dan mengukur risiko, merancang polis asuransi, dan mengelola investasi secara efisien. Selain itu, mereka juga akan belajar tentang regulasi keuangan, etika bisnis, dan teknologi informasi yang berkaitan dengan industri keuangan. Dengan demikian, Ilmu Aktuaria dapat membantu perusahaan dan institusi keuangan untuk mengelola risiko secara efektif dan mendukung keberlangsungan operasional serta pertumbuhan bisnis mereka.","Jurusan Ilmu Aktuaria adalah jurusan untuk orang yang menyukai matematika, statistik, dan analisis data. Mereka memiliki minat dalam risiko keuangan, asuransi, investasi, dan manajemen risiko. Orang yang memilih jurusan ini harus memiliki kemampuan analisis yang baik, logika yang kuat, serta ketelitian dalam mengolah data dan informasi. Mereka juga harus siap untuk belajar tentang hukum-hukum probabilitas dan statistika untuk menghitung risiko secara akurat. Selain itu, orang yang menyukai tantangan, problem-solving, dan kemampuan komunikasi yang baik juga cocok untuk menekuni jurusan Ilmu Aktuaria ini.","1. Matematika
2. Statistika
3. Ekonomi
4. Keuangan
5. Risiko
6. Asuransi
7. Teori Portofolio
8. Matematika Keuangan
9. Metode Statistika
10. Manajemen Risiko",0.80,0.20,0.10,0.20,0.00,0.00,0.40,0.80,0.00,0.00,0.20,0.00,0.00,0.00,0.30,0.00,0.10
117,TEKNOLOGI HASIL PERTANIAN,1644,"Jurusan Teknologi Hasil Pertanian merupakan salah satu jurusan yang mempelajari tentang teknik-teknik pengolahan hasil pertanian dari hulu hingga hilir. Mahasiswa yang mengambil jurusan ini akan belajar tentang berbagai metode pengolahan dan penyimpanan hasil pertanian agar dapat meningkatkan kualitas produk secara efisien dan efektif. Mereka juga akan mempelajari tentang teknologi tepat guna dalam pertanian, penggunaan alat dan mesin pertanian, serta keamanan pangan. Jurusan ini bertujuan untuk menghasilkan lulusan yang mampu mengembangkan inovasi di sektor pertanian, meningkatkan produktivitas pertanian, dan mendukung ketahanan pangan secara berkelanjutan.","Jurusan Teknologi Hasil Pertanian adalah jurusan yang cocok untuk orang yang menyukai dunia pertanian, teknologi, dan inovasi. Orang-orang yang memilih jurusan ini biasanya memiliki minat dalam mengembangkan produk pertanian, mengoptimalkan proses produksi, dan menciptakan solusi untuk meningkatkan produktivitas pertanian. Mereka akan belajar tentang pengolahan hasil pertanian, penerapan teknologi dalam pertanian, dan manajemen sumber daya alam. Jurusan ini juga menawarkan peluang karir yang beragam, mulai dari ahli riset pertanian hingga konsultan agribisnis. Jika Anda tertarik dengan pertanian modern dan teknologi, jurusan ini akan membuka banyak peluang untuk Anda.","1. Sistem Informasi Pertanian
2. Agribisnis
3. Pengolahan Hasil Pertanian
4. Agroekoteknologi
5. Tanaman Pangan
6. Tanaman Hortikultura
7. Ilmu Tanah
8. Sumberdaya Air
9. Agroindustri
10. Agroteknologi",0.30,0.60,0.20,0.00,0.70,0.20,0.40,0.00,0.00,0.00,0.00,0.40,0.30,0.30,0.20,0.00,0.00
118,TEKNOLOGI REKAYASA PERANGKAT LUNAK,1639,"Jurusan Teknologi Rekayasa Perangkat Lunak merupakan salah satu jurusan di bidang teknologi informasi yang fokus pada pembelajaran mengenai pengembangan perangkat lunak. Mahasiswa jurusan ini akan belajar mengenai berbagai metode dan teknologi dalam merancang, mengembangkan, menguji, dan memelihara perangkat lunak. Mereka juga akan mempelajari bahasa pemrograman, basis data, jaringan komputer, keamanan informasi, dan manajemen proyek perangkat lunak. Dengan demikian, lulusan jurusan ini diharapkan dapat menjadi profesional yang kompeten dalam industri teknologi informasi, serta mampu memberikan solusi perangkat lunak yang inovatif dan berkualitas.","Jurusan Teknologi Rekayasa Perangkat Lunak adalah jurusan untuk orang yang menyukai pengembangan dan pemrograman software. Mereka yang memiliki minat dan passion dalam merancang, mengembangkan, dan menguji aplikasi dan sistem software akan cocok dengan jurusan ini. Mereka akan belajar tentang berbagai teknik dan metodologi dalam pengembangan software, serta mendapatkan pengetahuan dalam desain antarmuka pengguna, manajemen proyek software, dan keamanan informasi. Sehingga, jurusan ini sangat cocok bagi individu yang ingin mengeksplorasi dunia teknologi informasi dan menjadi ahli di bidang pengembangan perangkat lunak yang inovatif dan berkualitas.","1. Rekayasa Perangkat Lunak
2. Pemrograman Web
3. Pemrosesan Citra
4. Sistem Informasi
5. Basis Data
6. Keamanan Informasi
7. Matematika Komputasi
8. Jaringan Komputer
9. Desain Antarmuka Pengguna
10. Pengembangan Aplikasi Mobile",0.70,0.20,0.10,0.00,0.00,0.00,1.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
119,KEUANGAN DAN PERBANKAN,1633," KEUANGAN DAN PERBANKAN adalah jurusan kuliah yang mempelajari tentang manajemen keuangan, investasi, perbankan, dan pasar keuangan. Mahasiswa jurusan ini akan belajar mengenai dasar-dasar ekonomi, analisis keuangan, perencanaan keuangan, perpajakan, manajemen risiko, dan instrumen keuangan lainnya. Mereka juga akan mempelajari tentang regulasi perbankan, kebijakan moneter, dan sistem keuangan global. Jurusan ini menawarkan kesempatan bagi mahasiswa untuk mengembangkan keterampilan analitis dan keputusan yang baik serta memahami kompleksitas dunia keuangan secara menyeluruh. Setelah lulus, lulusan jurusan ini dapat bekerja di berbagai lembaga keuangan, perbankan, investasi, manajemen aset, konsultan keuangan, dan banyak lagi.","Jurusan keuangan dan perbankan adalah jurusan yang cocok untuk orang yang menyukai analisis, perencanaan, dan manajemen keuangan. Orang-orang yang memilih jurusan ini biasanya memiliki ketertarikan yang kuat dalam memahami bagaimana uang dan investasi bekerja, serta memiliki minat dalam mengelola aset keuangan perusahaan atau individu. Mereka juga harus memiliki kemampuan kritis yang baik, analitis, serta ketelitian dalam menghitung dan mengelola data keuangan. Jurusan ini juga cocok untuk orang yang tertarik pada dunia perbankan dan ingin memahami lebih dalam tentang bagaimana lembaga keuangan beroperasi dan memberikan layanan kepada masyarakat.","1. Analisis Laporan Keuangan
2. Manajemen Risiko
3. Akuntansi Keuangan
4. Pemasaran Perbankan
5. Ekonometrika
6. Manajemen Keuangan
7. Ekonomi Internasional
8. Perpajakan
9. Manajemen Strategi Perbankan
10. Teknologi dan Sistem Informasi Perbankan",0.30,0.00,0.00,0.10,0.00,0.00,0.20,0.80,0.00,0.00,0.00,0.00,0.00,0.00,0.40,0.00,0.50
121,KRIMINOLOGI,1597,"Kriminologi adalah studi ilmiah tentang kejahatan, kriminalitas, dan perilaku kriminal. Jurusan Kriminologi bertujuan untuk mempelajari penyebab kejahatan, pola perilaku kriminal, serta sistem hukum dan kebijakan penegakan hukum. Mahasiswa jurusan Kriminologi akan mempelajari berbagai teori tentang kejahatan, metode investigasi kriminal, dan strategi pencegahan kejahatan. Mereka juga akan belajar tentang psikologi kriminal, sosiologi kriminal, serta kebijakan kriminal dan peradilan pidana. Dengan pengetahuan dan keterampilan yang diperoleh dari jurusan ini, lulusan Kriminologi dapat bekerja sebagai konsultan keamanan, peneliti kriminal, analis kejahatan, atau dalam bidang lain yang terkait dengan penegakan hukum dan keamanan masyarakat.","Jurusan Kriminologi adalah jurusan untuk orang yang menyukai memahami dan menganalisis berbagai aspek kejahatan, termasuk faktor-faktor yang mempengaruhinya, pola-pola perilaku kriminal, serta sistem penegakan hukum. Orang yang belajar di jurusan ini akan belajar tentang teori-teori kriminologi, metode investigasi kriminal, serta kebijakan pencegahan kejahatan. Mereka akan terlibat dalam studi kasus-kasus kejahatan nyata dan belajar bagaimana cara menangani kejahatan di masyarakat. Dengan pemahaman mendalam tentang kriminologi, lulusan jurusan ini dapat bekerja di berbagai bidang seperti kepolisian, lembaga peradilan, penelitian ilmiah, dan organisasi non-profit yang bergerak dalam penegakan hukum dan keamanan.","1. Penelitian Kriminal
2. Sosiologi Kriminologi
3. Kriminologi Terapan
4. Psikologi Kriminal
5. Analisis Forensik
6. Pencegahan Tindak Kriminal
7. Teori Kriminologi
8. Kriminologi Perbandingan
9. Pemasyarakatan dan Rehabilitasi
10. Etika Profesi Kriminologi",0.10,0.00,0.00,0.50,0.00,0.00,0.10,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.70,0.20,0.90
122,ADMINISTRASI PERKANTORAN,1589,"Jurusan Administrasi Perkantoran pada dasarnya mengajarkan para mahasiswa mengenai berbagai bidang pengetahuan terkait dengan tata kelola administrasi kantor. Mahasiswa akan mempelajari tentang pengelolaan sumber daya manusia, manajemen keuangan, komunikasi bisnis, teknologi informasi, serta berbagai keterampilan administrasi lainnya. Para mahasiswa juga akan diajarkan cara mengelola dokumen, menyusun laporan, serta merencanakan dan mengorganisir berbagai kegiatan administratif yang diperlukan dalam suatu kantor. Dengan demikian, lulusan dari jurusan Administrasi Perkantoran diharapkan dapat menjadi tenaga administrasi yang kompeten dan mampu mendukung kelancaran operasional kantor atau perusahaan di berbagai bidang industri.","Jurusan Administrasi Perkantoran adalah jurusan yang cocok untuk orang-orang yang menyukai tata kelola dan organisasi administrasi dalam lingkungan kantor. Para siswa jurusan ini akan belajar tentang manajemen dokumen, pengelolaan informasi, komunikasi bisnis, manajemen waktu, dan penggunaan teknologi modern dalam administrasi kantor. Mereka juga akan diberi pelatihan untuk menjadi profesional yang efisien, terorganisir, dan memiliki kemampuan multitasking. Dengan mengikuti jurusan ini, siswa dapat mempersiapkan diri untuk berkembang dalam karir sebagai sekretaris, administratif, koordinator kantor, atau manajer administrasi di berbagai industri dan perusahaan.","1. Pengantar Administrasi Perkantoran
2. Pengelolaan Arsip
3. Komunikasi Bisnis
4. Kearsipan
5. Pengantar Hukum Bisnis
6. Manajemen Kantor
7. Komputerisasi Administrasi Perkantoran
8. Administrasi Keuangan
9. Etika Bisnis
10. Pemasaran Bisnis",0.20,0.00,0.00,0.50,0.00,0.00,0.20,0.70,0.00,0.00,0.00,0.00,0.00,0.00,0.70,0.00,0.60
123,ILMU ADMINISTRASI NIAGA,1584,"Jurusan Ilmu Administrasi Niaga merupakan salah satu jurusan yang membahas tentang ilmu administrasi terkait dengan bidang niaga atau bisnis. Mahasiswa jurusan ini akan mempelajari berbagai konsep dan teori administrasi bisnis, manajemen perusahaan, dan segala sesuatu yang terkait dengan pengelolaan bisnis dan kegiatan niaga.

Selain itu, mahasiswa jurusan Ilmu Administrasi Niaga juga akan mempelajari strategi pemasaran, manajemen operasional, keuangan bisnis, serta aspek hukum dan regulasi yang berlaku dalam dunia bisnis. Mereka juga akan dilatih untuk memiliki keterampilan manajemen dan kepemimpinan yang dibutuhkan untuk menjadi seorang profesional yang sukses di bidang ini.

Dengan demikian, jurusan Ilmu Administrasi Niaga akan membekali mahasiswanya dengan pengetahuan dan keterampilan yang diperlukan untuk mengelola bisnis secara efektif dan efisien, serta mampu bersaing di pasar yang semakin kompetitif. Jurusan ini membuka peluang karir di berbagai bidang, mulai dari manajemen perusahaan, konsultan bisnis, hingga wirausaha.","Ilmu Administrasi Niaga adalah jurusan yang cocok untuk orang yang menyukai dunia bisnis, manajemen, dan administrasi. Dengan mempelajari jurusan ini, mahasiswa akan mendapatkan pengetahuan tentang berbagai aspek yang terkait dengan dunia bisnis, seperti pemasaran, keuangan, sumber daya manusia, dan manajemen operasional. Mereka juga akan diajari keterampilan dalam mengelola berbagai proses administrasi yang diperlukan dalam menjalankan bisnis. Jurusan ini menawarkan peluang karir yang luas, mulai dari manajer bisnis, marketing executive, hingga analis keuangan. Orang yang memiliki minat dalam bidang bisnis dan tertarik untuk mengembangkan keterampilan administratif mereka akan sangat menikmati belajar di jurusan Ilmu Administrasi Niaga.","1. Sistem Informasi Manajemen
2. Manajemen Keuangan
3. Pemasaran
4. Statistika Bisnis
5. Ekonomi Internasional
6. Komunikasi Bisnis
7. Kewirausahaan
8. Manajemen Sumber Daya Manusia
9. E-Commerce
10. Etika Bisnis",0.20,0.00,0.00,0.50,0.00,0.00,0.20,0.90,0.00,0.00,0.30,0.00,0.00,0.00,0.50,0.00,0.50
124,TEKNIK GEOFISIKA,1547," Jurusan Teknik Geofisika merupakan salah satu jurusan yang mempelajari tentang aplikasi ilmu fisika dan matematika untuk mengkaji fenomena geologi dan geofisika di dalam bumi. Para mahasiswa jurusan ini akan belajar tentang metode-metode geofisika seperti metode seismik, magnetik, gravitasi, dan elektromagnetik untuk memahami struktur dan sifat bumi serta proses geodinamika yang terjadi di dalamnya.

Selain itu, mahasiswa Teknik Geofisika juga akan mempelajari penggunaan teknologi canggih seperti pemetaan geologi dan geoteknik, pemantauan gempa bumi dan aktivitas vulkanik, serta penelitian tentang sumber daya alam seperti minyak dan gas bumi. Jurusan ini menjadi sangat penting dalam menjaga kelestarian lingkungan dan mitigasi bencana alam serta berkontribusi dalam penelitian dan pengembangan sumber daya energi baru yang ramah lingkungan.

Dengan demikian, lulusan Teknik Geofisika diharapkan memiliki pemahaman yang mendalam tentang struktur bumi dan dapat memberikan kontribusi yang berarti dalam bidang eksplorasi sumber daya alam, mitigasi bencana alam, serta pengelolaan lingkungan yang berkelanjutan.","Jurusan Teknik Geofisika adalah jurusan yang cocok untuk orang yang menyukai ilmu tentang bumi dan segala fenomena geologis yang terjadi di dalamnya. Para mahasiswa jurusan ini akan belajar tentang metode-metode geofisika untuk mengukur dan menganalisis struktur bumi, sifat material di dalam bumi, dan proses geodinamika yang terjadi di dalamnya. Mereka juga akan mempelajari cara mengaplikasikan pengetahuan tersebut dalam berbagai bidang seperti eksplorasi minyak dan gas, mitigasi bencana alam, serta riset lingkungan. Sehingga, jurusan ini sangat cocok untuk orang yang ingin menggali lebih dalam tentang planet tempat kita tinggal ini.","1. Fisika Dasar
2. Matematika Dasar
3. Kimia Dasar
4. Geologi Dasar
5. Geofisika Matematika
6. Fisika Bumi
7. Metode Geofisika
8. Seismologi
9. Magnetik dan Elektromagnetik
10. Interaksi Gelombang dengan Bumi",0.70,1.00,0.90,0.00,0.20,0.70,0.30,0.00,0.00,0.00,0.00,0.30,0.10,0.30,0.00,0.00,0.00
125,PENDIDIKAN AGAMA ISLAM,1538," Pendidikan Agama Islam adalah sebuah jurusan kuliah yang mempelajari tentang dasar-dasar agama Islam, ajaran dan nilai-nilai yang terkandung dalam agama Islam, serta penerapannya dalam kehidupan sehari-hari. Mahasiswa yang mengambil jurusan ini akan mempelajari berbagai aspek penting seperti sejarah perkembangan Islam, tafsir Al-Quran, hadis, fiqh, dan tauhid.

Selain itu, mahasiswa juga akan belajar tentang metode pengajaran agama Islam, pendidikan karakter berbasis agama, serta pentingnya memahami dan menjaga kerukunan antar umat beragama. Dengan latar belakang pendidikan Agama Islam, lulusan jurusan ini diharapkan dapat menjadi pendidik yang mampu memberikan pemahaman agama Islam yang baik dan benar kepada generasi muda serta memperkuat nilai-nilai keislaman dalam masyarakat.","Pendidikan Agama Islam merupakan jurusan yang cocok bagi mereka yang memiliki minat dan kecintaan terhadap agama Islam. Jurusan ini memberikan pemahaman mendalam tentang ajaran Islam, nilai-nilai moral, etika, serta kehidupan spiritual. Melalui mata kuliah seperti tafsir, hadis, akhlak, fiqh, dan sejarah Islam, mahasiswa dapat memperdalam pengetahuan tentang agama Islam dan menerapkannya dalam kehidupan sehari-hari. Selain itu, mahasiswa juga akan belajar tentang metodologi pengajaran agama Islam sehingga dapat menjadi pendidik agama yang berkualitas. Jurusan ini cocok bagi mereka yang ingin menyebarkan nilai-nilai Islam dan berperan dalam memperkuat keimanan umat Muslim.","1. Akhlak
2. Filsafat Hidup
3. Sejarah Peradaban Islam
4. Al-Qur'an
5. Hadis
6. Akidah
7. Filsafat Ilmu
8. Pendidikan Agama Islam
9. Etika Profesi
10. Studi Agama dan Lintas Budaya",0.00,0.10,0.00,0.20,0.00,0.00,0.00,0.10,0.10,0.20,0.80,0.10,0.00,0.10,0.30,0.80,0.25
126,GEOGRAFI,1532,"Geografi adalah studi tentang planet Bumi, termasuk proses fisik, manusia, dan lingkungan alam. Jurusan kuliah Geografi biasanya melibatkan pembelajaran tentang pemetaan, interpretasi data spasial, pengelolaan sumber daya alam, perubahan iklim, analisis pola populasi, dan fenomena geografis lainnya. Para mahasiswa Geografi akan mempelajari bagaimana lingkungan memengaruhi manusia dan sebaliknya, serta bagaimana kita dapat menjaga keberlanjutan lingkungan hidup di masa depan. Jurusan Geografi dapat membuka peluang karir dalam bidang pemetaan, penelitian lingkungan, pengembangan wilayah, konservasi alam, dan banyak lagi.","Jurusan geografi adalah jurusan untuk orang yang memiliki minat dan passion dalam mempelajari tentang lokasi, lingkungan, dan fenomena alam di bumi. Mereka yang mengambil jurusan ini biasanya memiliki ketertarikan dalam penelitian tentang keragaman hayati, iklim, budaya, serta hubungan antara manusia dan lingkungan. Mereka juga belajar tentang peta, sistem informasi geografis, dan teknologi terkait lainnya. Para mahasiswa geografi akan belajar bagaimana memahami dan menganalisis berbagai data spasial untuk memahami perubahan-perubahan di dunia ini. Jurusan ini cocok untuk orang yang ingin menjelajahi dunia dan memahami kompleksitasnya dengan lebih dalam.","1. Geografi Politik
2. Geografi Lingkungan
3. Geografi Regional
4. Geografi Permukiman
5. Geografi Pariwisata
6. Geografi Ekonomi
7. Geografi Perubahan Iklim
8. Geografi Penduduk
9. Geografi Sosial
10. Geografi Sejarah",0.10,0.20,0.05,0.30,0.20,0.10,0.30,0.10,0.00,0.00,0.00,0.50,0.10,1.00,0.00,0.20,0.00
127,PENDIDIKAN JASMANI,1526," Pendidikan Jasmani merupakan jurusan kuliah yang mempelajari tentang berbagai aspek kesehatan dan kebugaran tubuh manusia. Mahasiswa dalam jurusan ini akan belajar mengenai pentingnya aktivitas fisik dalam menjaga kesehatan, pemahaman tentang anatomi tubuh, serta berbagai metode latihan dan pengelolaan kebugaran. Selain itu, mereka juga akan mempelajari tentang pembinaan olahraga dan peranannya dalam mengembangkan potensi fisik dan mental individu. Jurusan Pendidikan Jasmani juga memberikan pemahaman yang mendalam tentang diet seimbang dan cara menjaga kebugaran tubuh secara holistik. Dengan demikian, lulusan jurusan ini akan memiliki pengetahuan dan keterampilan untuk menjadi ahli dalam mengelola kebugaran fisik dan kesehatan tubuh manusia.","Jurusan Pendidikan Jasmani adalah jurusan yang cocok untuk orang yang menyukai aktivitas fisik, olahraga, dan kesehatan. Orang yang memilih jurusan ini biasanya memiliki minat yang besar dalam bidang olahraga dan memiliki komitmen untuk meningkatkan kualitas hidup melalui kegiatan fisik. Mereka juga memiliki semangat untuk mengajarkan dan memotivasi orang lain agar hidup lebih sehat dan aktif. Melalui program pendidikan jasmani, mahasiswa akan mempelajari berbagai teknik dan strategi dalam melaksanakan aktivitas fisik, serta memahami pentingnya kesehatan dan gerakan tubuh untuk menjaga kondisi fisik dan mental.","1. Anatomi dan Fisiologi Manusia
2. Pendidikan Kesehatan
3. Olahraga dan Kesehatan
4. Biomekanika
5. Kinesiologi
6. Pengukuran dan Evaluasi Pendidikan Jasmani
7. Psikologi Pendidikan Jasmani
8. Pendidikan Gerak
9. Latihan Fisik
10. Nutrisi dan Dietetics",0.10,0.40,0.00,0.00,0.70,0.10,0.00,0.00,0.00,0.00,0.80,0.00,1.00,0.00,0.00,0.00,0.00
128,TEKNIK TELEKOMUNIKASI,1466," Jurusan Teknik Telekomunikasi adalah program studi yang fokus pada pengembangan dan implementasi teknologi dalam bidang telekomunikasi, seperti jaringan komunikasi, sistem telepon, dan teknologi nirkabel. Para mahasiswa jurusan ini akan mempelajari tentang teori dan praktik dalam merancang, mengelola, dan memelihara infrastruktur telekomunikasi, serta mengembangkan solusi untuk memperbaiki kualitas layanan komunikasi. Dengan demikian, lulusan jurusan ini diharapkan memiliki pengetahuan dan keterampilan yang dibutuhkan untuk bekerja dalam industri telekomunikasi, penyedia layanan jaringan, perusahaan telekomunikasi, atau lembaga pemerintah terkait.","Jurusan Teknik Telekomunikasi adalah jurusan yang cocok untuk orang yang tertarik dengan teknologi komunikasi modern. Orang-orang yang memilih jurusan ini biasanya memiliki minat dalam bidang teknik dan komunikasi, serta ingin belajar tentang bagaimana sistem telekomunikasi bekerja dan berkembang. Mereka senang mempelajari tentang jaringan komunikasi, pemrosesan sinyal, dan teknologi nirkabel. Selain itu, jurusan ini juga cocok untuk orang yang ingin terus mengikuti perkembangan teknologi terbaru dan ingin berkontribusi dalam menciptakan solusi inovatif dalam bidang telekomunikasi. Teknik Telekomunikasi juga menawarkan peluang karir yang menjanjikan di berbagai sektor industri.","1. Sistem Komunikasi
2. Jaringan Telekomunikasi
3. Antena dan Propagasi Gelombang
4. Teknologi Informasi
5. Perangkat Komunikasi Optik
6. Sinyal dan Sistem
7. Teori Informasi
8. Pengolahan Sinyal
9. Pengantar Telekomunikasi
10. Teknik Modulasi",0.40,0.90,0.90,0.00,0.10,0.20,0.70,0.20,0.00,0.00,0.10,0.00,0.00,0.00,0.30,0.00,0.00
129,USAHA PERJALANAN WISATA,1452,"USAHA PERJALANAN WISATA adalah salah satu jurusan kuliah yang fokus pada pengelolaan dan pengembangan bisnis di industri pariwisata. Melalui program studi ini, mahasiswa akan belajar tentang manajemen operasional pariwisata, pemasaran pariwisata, serta aspek keuangan dan hukum yang terkait dengan industri pariwisata. Selain itu, mahasiswa juga akan diajarkan tentang pelayanan pelanggan, pengembangan produk pariwisata, dan strategi bisnis yang dapat membantu dalam meningkatkan daya saing perusahaan pariwisata. Dengan memahami seluruh aspek ini, lulusan jurusan USAHA PERJALANAN WISATA diharapkan mampu menjadi pemimpin yang kompeten dalam industri pariwisata yang terus berkembang.","Jurusan ini adalah untuk orang yang menyukai petualangan dan eksplorasi. Mereka yang memilih jurusan ini biasanya memiliki minat yang besar dalam seni bertualang dan ingin mengeksplorasi tempat-tempat baru dan budaya-budaya yang berbeda. Mereka juga biasanya memiliki keinginan untuk terus belajar dan memperluas pengetahuan mereka tentang dunia. Orang-orang yang memilih jurusan ini seringkali memiliki jiwa petualang, keinginan untuk mengalami hal-hal baru, dan keinginan untuk berinteraksi dengan orang-orang dari berbagai latar belakang. Kesimpulannya, jurusan ini cocok untuk orang yang suka petualangan, keberagaman, dan memperluas wawasan tentang dunia.","1. Pariwisata dan Perhotelan
2. Manajemen Perjalanan Wisata
3. Pemasaran Pariwisata
4. Budaya dan Pariwisata
5. Ekowisata
6. Strategic Management in Tourism
7. Financial Management in Tourism
8. Tourism Policy and Planning
9. Tour Guiding
10. Tourism Geography",0.10,0.00,0.00,0.30,0.00,0.00,0.20,0.50,0.10,0.20,0.00,0.50,0.00,0.50,0.30,0.40,0.00
130,EKONOMI MANAJEMEN,1450,"Jurusan kuliah Manajemen Ekonomi berfokus pada studi tentang pengelolaan sumber daya ekonomi dalam suatu organisasi atau perusahaan. Mahasiswa yang mengambil jurusan ini akan mempelajari berbagai konsep dan teori ekonomi, manajemen keuangan, analisis bisnis, dan strategi pemasaran. Mereka juga akan diajarkan keterampilan praktis dalam mengambil keputusan bisnis yang tepat, mengelola tim kerja, dan merencanakan strategi bisnis yang efektif. Sebagai lulusan jurusan Manajemen Ekonomi, mereka diharapkan dapat menjadi pemimpin yang mampu mengelola organisasi dengan baik dan menciptakan nilai tambah bagi perusahaan.","Jurusan Ekonomi Manajemen adalah jurusan yang cocok untuk orang yang menyukai analisis bisnis, perencanaan strategis, serta manajemen keuangan. Jurusan ini juga cocok untuk orang yang tertarik dalam memahami bagaimana organisasi mencapai tujuan finansialnya, mengelola sumber daya, dan membuat keputusan yang efektif dalam lingkungan bisnis yang kompetitif. Dengan mengambil jurusan ini, mahasiswa akan memperoleh pengetahuan dan keterampilan dalam bidang manajemen, ekonomi, keuangan, serta pemasaran yang dapat membantu mereka meraih kesuksesan karir di berbagai industri. Jurusan ini membutuhkan ketelitian, analisis yang baik, serta keinginan untuk terus belajar dan beradaptasi dengan perubahan yang terjadi di dunia bisnis.","1. Ekonomi Makro
2. Manajemen Keuangan
3. Pemasaran
4. Human Resource Management
5. Manajemen Operasional
6. Ekonomi Mikro
7. Akuntansi
8. Perilaku Organisasi
9. Bisnis Internasional
10. Riset Operasional",0.40,0.00,0.00,0.30,0.00,0.00,0.20,1.00,0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.10
