NAMA,PEMINAT 2023,Description,Mata Kuliah,Matematika,Sains,Fisika,Sosiologi,Biologi,Kimia,Teknologi,Bisnis dan Ekonomi,Seni,Sastra dan Linguistik,Pendidikan,Lingkungan,Kesehatan,Geografi,Komunikasi,Sejarah dan Filsafat,Hukum,highest
EKONOMI ISLAM,3066,"Ekonomi Islam adalah studi tentang prinsip dan praktik ekonomi yang sesuai dengan prinsip-prinsip Islam. Jurusan ini membahas konsep ekonomi seperti zakat, sedekah, riba, dan keadilan ekonomi. Mahasiswa yang mengambil jurusan ini akan mempelajari bagaimana prinsip-prinsip Islam dapat diterapkan dalam konteks ekonomi modern, termasuk perbankan syariah, investasi halal, dan pengentasan kemiskinan berdasarkan prinsip-prinsip keadilan sosial dalam Islam. Selain itu, mahasiswa juga akan mendalami konsep-konsep seperti kepemimpinan moral, etika bisnis, dan tanggung jawab sosial dalam konteks ekonomi Islam. Jurusan Ekonomi Islam memberikan pemahaman yang mendalam tentang bagaimana ekonomi dan keuangan dapat dijalankan sesuai dengan nilai-nilai agama Islam.","1. Ekonomi Islam Mikro
2. Ekonomi Islam Makro
3. Filsafat Ekonomi Islam
4. Dasar-dasar Ekonomi Islam
5. Etika Bisnis Islam
6. Manajemen Keuangan Islam
7. Akuntansi Syariah
8. Perbankan Syariah
9. Hukum Ekonomi Islam
10. Ekonomi Politik Islam",0.1,0.1,0.1,0.3,0.0,0.1,0.1,0.8,0.1,0.1,0.3,0.2,0.1,0.1,0.2,0.4,0.7,7
ILMU EKONOMI,3051,"Ilmu Ekonomi adalah salah satu jurusan kuliah yang mempelajari tentang perilaku ekonomi individu, perusahaan, dan pemerintah dalam mengalokasikan sumber daya yang terbatas untuk memenuhi kebutuhan yang tak terbatas. Jurusan ini memberikan pemahaman yang mendalam tentang teori ekonomi, metode analisis ekonomi, dan kebijakan ekonomi yang berpengaruh terhadap kebijakan ekonomi di tingkat lokal, nasional, maupun global. Para mahasiswa Ilmu Ekonomi akan belajar tentang mikroekonomi, makroekonomi, statistik, ekonomi pembangunan, keuangan, manajemen, perdagangan internasional, dan keuangan internasional. Dengan memahami prinsip-prinsip ekonomi, lulusan Ilmu Ekonomi memiliki kesempatan untuk bekerja di berbagai bidang, seperti perbankan, asuransi, konsultan, pemerintahan, perusahaan swasta, atau menjadi pengusaha. ","1. Mikroekonomi
2. Makroekonomi
3. Statistika
4. Manajemen Keuangan
5. Pemasaran
6. Akuntansi Keuangan
7. Ekonomi Pembangunan
8. Sistem Informasi Manajemen
9. Perpajakan
10. Ekonomi Internasional",0.6,0.1,0.1,0.2,0.1,0.1,0.3,0.8,0.1,0.1,0.3,0.2,0.2,0.1,0.3,0.2,0.3,7
BAHASA DAN SASTRA INGGRIS,2990," jurusan Bahasa dan Sastra Inggris adalah program studi yang bertujuan untuk mengkaji dan mempelajari bahasa Inggris baik secara lisan maupun tulisan, serta karya sastra dalam bahasa Inggris. Jurusan ini membekali mahasiswanya dengan kemampuan berbahasa Inggris yang baik, kemampuan menganalisis dan menginterpretasikan karya sastra, serta kemampuan berkomunikasi secara efektif dalam berbagai konteks. Selain itu, mahasiswa juga akan belajar tentang sejarah, budaya, dan perkembangan bahasa Inggris serta sastra-sastra yang dihasilkan dalam bahasa tersebut. Jurusan Bahasa dan Sastra Inggris memiliki peran yang penting dalam memperkaya literatur dunia serta memperluas wawasan dan pemahaman tentang budaya-budaya yang berbeda. Keahlian yang diperoleh dari jurusan ini dapat membuka berbagai peluang karir di bidang pendidikan, media, penerjemahan, diplomatik, penerbitan, dan lain sebagainya.","1. Bahasa Indonesia
2. Bahasa Jawa
3. Bahasa Inggris
4. Filsafat
5. Bahasa Arab
6. Sastra Indonesia
7. Sastra Jawa
8. Linguistik
9. Sastra Inggris
10. Bahasa Sunda",0.1,0.1,0.1,0.3,0.1,0.1,0.1,0.0,0.2,0.9,0.2,0.2,0.1,0.1,0.5,0.4,0.3,10
PENDIDIKAN GURU SEKOLAH DASAR (PGSD),2979," Pendidikan Guru Sekolah Dasar adalah jurusan kuliah yang mempersiapkan mahasiswa untuk menjadi seorang guru di tingkat sekolah dasar. Selama kuliah, mahasiswa akan mempelajari berbagai mata pelajaran yang berkaitan dengan pendidikan, psikologi perkembangan anak, metode pengajaran, evaluasi pembelajaran, serta etika profesionalisme dalam mengajar.

Mahasiswa juga akan diajarkan bagaimana mengelola kelas, berkomunikasi dengan siswa, orangtua, dan kolega guru, serta bagaimana mengembangkan kurikulum yang sesuai dengan kebutuhan serta perkembangan anak usia sekolah dasar. Selain itu, mahasiswa juga akan dilatih untuk meningkatkan kemampuan kreativitas, kemampuan berpikir kritis, dan kemampuan interpersonal dalam proses pembelajaran.

Setelah lulus dari jurusan ini, lulusan akan siap untuk menjadi seorang guru profesional yang mampu memberikan pendidikan yang berkualitas bagi anak-anak di tingkat sekolah dasar. Mereka akan memiliki pengetahuan dan keterampilan yang dibutuhkan untuk menciptakan lingkungan belajar yang kondusif, memotivasi siswa untuk belajar, serta membantu mereka mencapai potensi terbaik mereka dalam proses pendidikan.","1. Pendidikan Bahasa Indonesia
2. Pendidikan Matematika
3. Pendidikan IPA
4. Pendidikan Agama
5. Pendidikan Kewarganegaraan
6. Pendidikan Seni
7. Pendidikan Jasmani
8. Psikologi Pendidikan
9. Kependidikan Guru
10. Metode Pembelajaran",0.2,0.2,0.1,0.4,0.1,0.1,0.2,0.1,0.4,0.3,0.9,0.2,0.1,0.2,0.4,0.4,0.1,11
PENDIDIKAN KEPELATIHAN OLAHRAGA,2961,"Jurusan Kuliah Pendidikan Kepelatihan Olahraga merupakan program studi yang berkaitan dengan pendidikan olahraga dan kepelatihan, yang bertujuan untuk menciptakan para pelatih yang kompeten dalam bidang olahraga. Para mahasiswa jurusan ini akan mempelajari berbagai metode pelatihan, teknik pengajaran, manajemen olahraga, kesehatan atlet, serta berbagai aspek lain yang berkaitan dengan pembinaan dan pengembangan potensi atlet.

Selain itu, mahasiswa jurusan ini juga akan belajar mengenai teori olahraga, psikologi olahraga, nutrisi atlet, serta bagaimana mengelola tim dan program olahraga yang efektif. Selama perkuliahan, para mahasiswa juga akan diberikan kesempatan untuk melakukan praktik lapangan dengan bekerja langsung di lapangan olahraga, organisasi olahraga, atau pusat kepelatihan.

Dengan demikian, lulusan dari Jurusan Pendidikan Kepelatihan Olahraga diharapkan memiliki pengetahuan dan keterampilan yang komprehensif dalam bidang olahraga dan kepelatihan, sehingga mampu menjadi pelatih yang berkualitas, mengelola program olahraga yang sukses, serta memberikan kontribusi positif dalam dunia olahraga dan kebugaran.","1. Teori dan Metodologi Latihan
2. Anatomi dan Fisiologi Manusia
3. Psikologi dalam Olahraga
4. Kesehatan dan Kebugaran
5. Manajemen Olahraga
6. Biomekanika
7. Nutrisi dalam Olahraga
8. Penyuluhan Kesehatan
9. Evaluasi dan Pengukuran Kinerja Atlet
10. Pendidikan Jasmani",0.2,0.2,0.2,0.2,0.6,0.2,0.1,0.4,0.1,0.1,0.4,0.1,0.6,0.2,0.2,0.2,0.1,5
EKONOMI SYARIAH,2883,"EKONOMI SYARIAH merupakan sebuah jurusan kuliah yang menawarkan pendalaman ilmu ekonomi yang berbasis prinsip-prinsip syariah Islam. Jurusan ini menekankan pada aspek keuangan yang sesuai dengan hukum Islam, yang meliputi larangan riba (bunga), judi, dan praktik bisnis yang tidak sesuai dengan prinsip keadilan.

Selama kuliah, mahasiswa akan mempelajari konsep-konsep ekonomi Islam, sistem keuangan yang berbasis syariah, hukum-hukum ekonomi Islam, serta praktek-praktek bisnis yang beretika dan sesuai dengan ajaran Islam. Selain itu, mahasiswa juga akan diajarkan cara mengelola keuangan secara sehat dan berkelanjutan sesuai dengan prinsip-prinsip Islam.

Lulusan jurusan EKONOMI SYARIAH memiliki peluang karir yang luas di berbagai sektor, seperti perbankan syariah, lembaga keuangan Islam, perusahaan investasi syariah, lembaga keuangan mikro syariah, konsultan keuangan syariah, serta lembaga-lembaga pemerintah yang bergerak dalam bidang ekonomi Islam. Dengan demikian, jurusan ini memberikan kesempatan kepada mahasiswa untuk berkontribusi dalam membangun perekonomian yang berlandaskan prinsip-prinsip Islam.","1. Prinsip Ekonomi Syariah
2. Akuntansi Syariah
3. Hukum Ekonomi Syariah
4. Manajemen Keuangan Syariah
5. Perbankan Syariah
6. Investasi Syariah
7. Ekonomi dan Perbankan Islam
8. Etika Bisnis Syariah
9. Manajemen Risiko Syariah
10. Ekonomi Islam",0.6,0.2,0.1,0.2,0.1,0.1,0.1,0.4,0.1,0.1,0.8,0.1,0.1,0.1,0.2,0.3,0.5,11
KESELAMATAN DAN KESEHATAN KERJA,2816,"Keselamatan dan Kesehatan Kerja adalah jurusan kuliah yang mempelajari tentang upaya untuk menciptakan lingkungan kerja yang aman dan sehat bagi para pekerja. Jurusan ini mencakup berbagai aspek, termasuk identifikasi dan evaluasi potensi risiko di tempat kerja, pengembangan program-program keselamatan dan kesehatan kerja, serta peningkatan kesadaran dan keterampilan dalam mengelola risiko di tempat kerja. Para mahasiswa jurusan ini akan mempelajari berbagai metode dan teknik yang dapat digunakan untuk mengurangi risiko cedera atau penyakit yang terkait dengan pekerjaan, serta merancang dan melaksanakan program-program keselamatan dan kesehatan yang efektif. Keselamatan dan Kesehatan Kerja adalah jurusan yang penting dalam memastikan kesejahteraan dan produktivitas para pekerja di berbagai industri dan sektor.","1. Keselamatan dan Kesehatan Kerja Industri
2. Higiene Industri
3. Ergonomi Kerja
4. Manajemen Risiko K3
5. Penyuluhan Kesehatan Kerja
6. Audit Kesehatan dan Keselamatan Kerja
7. Teknik Pengendalian Bahaya
8. Perancangan Fasilitas Kerja
9. Manajemen Pengelolaan Limbah B3
10. Epidemiologi Kesehatan Kerja",0.3,0.2,0.2,0.3,0.3,0.4,0.1,0.2,0.0,0.0,0.2,0.3,0.9,0.2,0.2,0.1,0.3,14
MANAJEMEN BISNIS,2794,"Jurusan Manajemen Bisnis adalah salah satu jurusan yang berkaitan dengan pengelolaan bisnis dan strategi perusahaan. Mahasiswa jurusan ini akan mempelajari berbagai macam konsep dan teori mengenai manajemen, pemasaran, keuangan, dan sumber daya manusia yang dapat diterapkan dalam dunia bisnis. Mereka juga akan belajar mengenai analisis pasar, perencanaan bisnis, dan pengambilan keputusan strategis. Jurusan Manajemen Bisnis bertujuan untuk melahirkan lulusan yang mampu menjadi pemimpin bisnis yang kompeten dan inovatif dalam menghadapi tantangan pasar yang terus berubah.","1. Manajemen Keuangan
2. Pemasaran
3. Manajemen Sumber Daya Manusia
4. Perilaku Organisasi
5. Bisnis Internasional
6. Manajemen Operasional
7. Strategi Bisnis
8. Etika Bisnis
9. Manajemen Pemasok
10. Riset Pasar",0.2,0.2,0.1,0.2,0.1,0.1,0.2,0.9,0.1,0.0,0.1,0.2,0.1,0.2,0.2,0.1,0.3,7
TATA BOGA,2765,"TATA BOGA adalah jurusan kuliah yang mempelajari segala hal yang berkaitan dengan pengolahan makanan, seperti teknik memasak, kreativitas dalam menyajikan hidangan, serta pengetahuan mengenai bahan makanan dan gizi. Para mahasiswa jurusan TATA BOGA akan belajar tentang berbagai macam teknik memasak dari berbagai belahan dunia, mengembangkan kreativitas dalam menciptakan menu dan presentasi hidangan yang menarik, serta memahami pentingnya kebersihan dan kesehatan dalam proses pengolahan makanan. Selain itu, mereka juga akan mempelajari manajemen dapur, tata cara penyajian, dan tren terbaru dalam dunia kuliner. Dengan pengetahuan dan keterampilan yang didapat dari jurusan TATA BOGA, mahasiswa diharapkan dapat sukses bekerja di industri kuliner, seperti restoran, hotel, kapal pesiar, dan industri makanan dan minuman lainnya.","1. Pengantar Ilmu Tata Boga
2. Nutrisi dan Dietetik
3. Teknik Dasar Memasak
4. Higiene dan Sanitasi Makanan
5. Manajemen Dapur
6. Teknik Pengolahan Patiseri
7. Teknik Pengolahan Bakery
8. Seni Penyajian Makanan
9. Manajemen Resto dan Catering
10. Teknologi Pangan",0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.4,0.7,0.1,0.1,0.1,0.4,0.2,0.2,0.1,0.1,9
FAKULTAS TEKNIK PERTAMBANGAN DAN PERMINYAKAN (FTTM),2757,"Jurusan Teknik Pertambangan dan Perminyakan (FTTM) adalah salah satu program studi yang fokus pada ilmu dan teknologi dalam bidang pertambangan dan perminyakan. Mahasiswa jurusan ini akan belajar tentang proses eksplorasi, eksploitasi, dan pengolahan sumber daya alam seperti minyak dan gas bumi, batu bara, logam, dan mineral lainnya. Mereka juga akan mempelajari teknik-teknik pengeboran, penambangan, pemrosesan, dan pengelolaan lingkungan dalam industri pertambangan dan perminyakan.

Selain itu, mahasiswa jurusan ini juga akan mempelajari tentang keberlanjutan energi, pengelolaan limbah, standar keselamatan kerja, dan regulasi di industri pertambangan dan perminyakan. Dengan pengetahuan yang mereka dapatkan selama kuliah, lulusan Teknik Pertambangan dan Perminyakan diharapkan mampu menjadi ahli yang kompeten dan berkontribusi dalam pengembangan industri sumber daya alam secara bertanggung jawab dan berkelanjutan.","1. Rekayasa Sumber Daya Mineral
2. Teknik Penambangan
3. Teknik Perminyakan
4. Geologi
5. Geoteknik
6. Pemodelan dan Simulasi Sumber Daya Alam
7. Pengolahan dan Pemanfaatan Sumber Daya Mineral
8. Teknik Lingkungan Pertambangan
9. Teknik Geofisika
10. Pemodelan Reservoir Oil & Gas",0.3,0.2,0.5,0.0,0.1,0.1,0.1,0.3,0.1,0.0,0.2,0.4,0.1,0.7,0.3,0.1,0.3,15
TEKNIK PERTANIAN,2743,"Jurusan Teknik Pertanian merupakan salah satu jurusan yang mempelajari cara-cara meningkatkan produktivitas dan kualitas hasil pertanian melalui penerapan ilmu teknik dan teknologi. Mahasiswa jurusan ini akan belajar mengenai perencanaan, desain, dan implementasi berbagai sistem dan teknologi pertanian yang efisien dan berkelanjutan. Mereka juga akan mempelajari tentang pengelolaan sumber daya alam dan lingkungan yang berkelanjutan, serta cara-cara mengatasi tantangan-tantangan dalam pertanian modern seperti perubahan iklim dan keterbatasan sumber daya. Dengan demikian, lulusan jurusan Teknik Pertanian diharapkan mampu menjadi agen perubahan dalam meningkatkan kesejahteraan petani dan keberlanjutan sistem pertanian di Indonesia.","1. Agribisnis
2. Agroekoteknologi
3. Klimatologi Pertanian
4. Penyuluhan Pertanian
5. Teknologi Pengolahan Hasil Pertanian
6. Sistem Informasi Pertanian
7. Pengendalian Hama dan Penyakit
8. Mekanisasi Pertanian
9. Pemuliaan Tanaman
10. Manajemen Lahan Pertanian",0.5,0.4,0.2,0.3,0.6,0.2,0.2,0.2,0.2,0.0,0.2,0.7,0.2,0.8,0.2,0.1,0.2,15
PEND. GURU SEKOLAH DASAR,2716," Pendidikan Guru Sekolah Dasar adalah jurusan kuliah yang mempersiapkan mahasiswa untuk menjadi seorang guru di tingkat sekolah dasar. Selama kuliah, mahasiswa akan mempelajari berbagai mata pelajaran yang berkaitan dengan pendidikan, psikologi perkembangan anak, metode pengajaran, evaluasi pembelajaran, serta etika profesionalisme dalam mengajar.

Mahasiswa juga akan diajarkan bagaimana mengelola kelas, berkomunikasi dengan siswa, orangtua, dan kolega guru, serta bagaimana mengembangkan kurikulum yang sesuai dengan kebutuhan serta perkembangan anak usia sekolah dasar. Selain itu, mahasiswa juga akan dilatih untuk meningkatkan kemampuan kreativitas, kemampuan berpikir kritis, dan kemampuan interpersonal dalam proses pembelajaran.

Setelah lulus dari jurusan ini, lulusan akan siap untuk menjadi seorang guru profesional yang mampu memberikan pendidikan yang berkualitas bagi anak-anak di tingkat sekolah dasar. Mereka akan memiliki pengetahuan dan keterampilan yang dibutuhkan untuk menciptakan lingkungan belajar yang kondusif, memotivasi siswa untuk belajar, serta membantu mereka mencapai potensi terbaik mereka dalam proses pendidikan.","1. Pendidikan Bahasa Indonesia
2. Pendidikan Matematika
3. Pendidikan IPA
4. Pendidikan Agama
5. Pendidikan Kewarganegaraan
6. Pendidikan Seni
7. Pendidikan Jasmani
8. Psikologi Pendidikan
9. Kependidikan Guru
10. Metode Pembelajaran",0.2,0.2,0.1,0.4,0.1,0.1,0.2,0.1,0.4,0.3,0.9,0.2,0.1,0.2,0.4,0.4,0.1,11
SEKOLAH BISNIS DAN MANAJEMEN (SBM),2644,"Jurusan Pendidikan di Sekolah Bisnis dan Manajemen (SBM) merupakan program studi yang bertujuan untuk melatih mahasiswa dalam bidang pendidikan bisnis dan manajemen. Dalam program ini, mahasiswa akan mempelajari dasar-dasar manajemen, ekonomi bisnis, keuangan, pemasaran, serta perencanaan bisnis. Selain itu, mahasiswa juga akan dilatih dalam keterampilan kepemimpinan, komunikasi, dan problem solving yang diperlukan dalam dunia bisnis yang sangat kompetitif. Program studi ini mempersiapkan mahasiswa untuk menjadi profesional yang memiliki pengetahuan dan keterampilan yang dibutuhkan untuk sukses dalam industri bisnis dan manajemen.","1. Manajemen Keuangan
2. Pemasaran
3. Sumber Daya Manusia
4. Akuntansi
5. Bisnis Internasional
6. Kewirausahaan
7. Manajemen Operasional
8. Kepemimpinan
9. Etika Bisnis
10. Analisis Bisnis",0.3,0.2,0.1,0.2,0.1,0.1,0.1,0.9,0.1,0.1,0.2,0.2,0.1,0.3,0.5,0.2,0.4,7
EKONOMI,2621,"Ilmu Ekonomi adalah salah satu jurusan kuliah yang mempelajari tentang perilaku ekonomi individu, perusahaan, dan pemerintah dalam mengalokasikan sumber daya yang terbatas untuk memenuhi kebutuhan yang tak terbatas. Jurusan ini memberikan pemahaman yang mendalam tentang teori ekonomi, metode analisis ekonomi, dan kebijakan ekonomi yang berpengaruh terhadap kebijakan ekonomi di tingkat lokal, nasional, maupun global. Para mahasiswa Ilmu Ekonomi akan belajar tentang mikroekonomi, makroekonomi, statistik, ekonomi pembangunan, keuangan, manajemen, perdagangan internasional, dan keuangan internasional. Dengan memahami prinsip-prinsip ekonomi, lulusan Ilmu Ekonomi memiliki kesempatan untuk bekerja di berbagai bidang, seperti perbankan, asuransi, konsultan, pemerintahan, perusahaan swasta, atau menjadi pengusaha. ","1. Mikroekonomi
2. Makroekonomi
3. Statistika
4. Manajemen Keuangan
5. Pemasaran
6. Akuntansi Keuangan
7. Ekonomi Pembangunan
8. Sistem Informasi Manajemen
9. Perpajakan
10. Ekonomi Internasional",0.6,0.1,0.1,0.2,0.1,0.1,0.3,0.8,0.1,0.1,0.3,0.2,0.2,0.1,0.3,0.2,0.3,7
SAINS DATA,2597,"sains data merupakan jurusan kuliah yang berkaitan dengan pengolahan dan analisis data. Mahasiswa jurusan ini akan belajar mengenai pengumpulan, penyimpanan, serta analisis data dalam berbagai bentuk dan ukuran. Mereka juga akan mempelajari teknik-teknik statistik, machine learning, dan data mining untuk dapat menghasilkan informasi yang berharga dari data yang ada. Selain itu, mahasiswa jurusan sains data juga akan diajarkan cara mengelola dan mengoptimalkan database serta sistem informasi untuk memenuhi kebutuhan perusahaan atau organisasi. Dengan perkembangan teknologi informasi dan semakin banyaknya data yang dihasilkan setiap harinya, jurusan sains data saat ini sangat diminati dan menawarkan prospek karir yang cerah di bidang data science, business intelligence, dan analisis data.","1. Sains Data Dasar
2. Statistik
3. Database Management
4. Machine Learning
5. Big Data Analysis
6. Data Visualization
7. Data Mining
8. Predictive Analytics
9. Business Intelligence
10. Data Ethics and Privacy",0.8,0.3,0.2,0.1,0.2,0.1,0.5,0.6,0.2,0.1,0.1,0.2,0.1,0.2,0.3,0.2,0.3,1
ILMU SEJARAH,2520,"Jurusan Ilmu Sejarah mempelajari sejarah sebagai ilmu yang mencakup kajian tentang peristiwa, proses, dan tokoh-tokoh yang memberikan dampak terhadap perkembangan manusia dan masyarakat. Mahasiswa jurusan ini akan belajar mengenai berbagai periode sejarah dari masa purba hingga modern, serta memahami berbagai sumber sejarah seperti arsip, artefak, dan dokumen historis. Mereka juga akan diajarkan metode penelitian sejarah untuk mengembangkan kemampuan analisis dan interpretasi terhadap berbagai fenomena sejarah. Jurusan Ilmu Sejarah mempersiapkan mahasiswanya untuk menjadi ahli sejarah, peneliti sejarah, guru sejarah, kurator museum, atau pekerja di bidang kebudayaan dan pariwisata yang membutuhkan pemahaman mendalam tentang sejarah.","1. Ilmu Arkeologi 
2. Ilmu Purbakala 
3. Sejarah Peradaban 
4. Sejarah Indonesia 
5. Sejarah Dunia 
6. Metode Sejarah 
7. Sejarah Sosial 
8. Sejarah Politik 
9. Sejarah Ekonomi 
10. Sejarah Kebudayaan",0.1,0.2,0.1,0.4,0.2,0.1,0.0,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.9,0.3,17
PGSD (PENDIDIKAN GURU SEKOLAH DASAR),2496," Pendidikan Guru Sekolah Dasar adalah jurusan kuliah yang mempersiapkan mahasiswa untuk menjadi seorang guru di tingkat sekolah dasar. Selama kuliah, mahasiswa akan mempelajari berbagai mata pelajaran yang berkaitan dengan pendidikan, psikologi perkembangan anak, metode pengajaran, evaluasi pembelajaran, serta etika profesionalisme dalam mengajar.

Mahasiswa juga akan diajarkan bagaimana mengelola kelas, berkomunikasi dengan siswa, orangtua, dan kolega guru, serta bagaimana mengembangkan kurikulum yang sesuai dengan kebutuhan serta perkembangan anak usia sekolah dasar. Selain itu, mahasiswa juga akan dilatih untuk meningkatkan kemampuan kreativitas, kemampuan berpikir kritis, dan kemampuan interpersonal dalam proses pembelajaran.

Setelah lulus dari jurusan ini, lulusan akan siap untuk menjadi seorang guru profesional yang mampu memberikan pendidikan yang berkualitas bagi anak-anak di tingkat sekolah dasar. Mereka akan memiliki pengetahuan dan keterampilan yang dibutuhkan untuk menciptakan lingkungan belajar yang kondusif, memotivasi siswa untuk belajar, serta membantu mereka mencapai potensi terbaik mereka dalam proses pendidikan.","1. Pendidikan Bahasa Indonesia
2. Pendidikan Matematika
3. Pendidikan IPA
4. Pendidikan Agama
5. Pendidikan Kewarganegaraan
6. Pendidikan Seni
7. Pendidikan Jasmani
8. Psikologi Pendidikan
9. Kependidikan Guru
10. Metode Pembelajaran",0.2,0.2,0.1,0.4,0.1,0.1,0.2,0.1,0.4,0.3,0.9,0.2,0.1,0.2,0.4,0.4,0.1,11
TEKNOLOGI INDUSTRI PERTANIAN,2477,"Teknologi Industri Pertanian merupakan salah satu jurusan kuliah yang mempelajari tentang penerapan ilmu dan teknologi dalam bidang pertanian. Jurusan ini menggabungkan keahlian dalam rekayasa teknologi dan ilmu pertanian untuk meningkatkan produktivitas, efisiensi, dan kualitas hasil pertanian. Mahasiswa jurusan ini akan belajar tentang teknologi dan alat mesin pertanian, sistem pengendalian kualitas, proses pengolahan produk pertanian, manajemen sumber daya pertanian, dan berbagai aspek lain yang terkait. Lulusan dari jurusan ini diharapkan mampu berkontribusi dalam meningkatkan hasil pertanian secara berkelanjutan dan berdaya saing tinggi.","1. Agribisnis
2. Agroekoteknologi
3. Klimatologi Pertanian
4. Penyuluhan Pertanian
5. Teknologi Pengolahan Hasil Pertanian
6. Sistem Informasi Pertanian
7. Pengendalian Hama dan Penyakit
8. Mekanisasi Pertanian
9. Pemuliaan Tanaman
10. Manajemen Lahan Pertanian",0.5,0.4,0.2,0.3,0.6,0.2,0.2,0.2,0.2,0.0,0.2,0.7,0.2,0.8,0.2,0.1,0.2,15
PENDIDIKAN SOSIOLOGI,2471,"Jurusan Pendidikan Sosiologi merupakan program studi yang mengkaji tentang pendidikan dari sudut pandang sosiologi. Para mahasiswa dalam jurusan ini akan mempelajari berbagai teori dan konsep sosiologi yang berkaitan dengan proses pembelajaran dan pendidikan dalam masyarakat. Mereka juga akan mempelajari tentang peran dan dampak faktor-faktor sosial seperti budaya, struktur sosial, dan kekuasaan dalam konteks sistem pendidikan.

Selain itu, mahasiswa jurusan Pendidikan Sosiologi juga akan diajarkan tentang metode-metode penelitian sosiologi yang dapat digunakan dalam konteks pendidikan. Mereka akan belajar bagaimana melakukan analisis sosial terhadap fenomena-fenomena pendidikan, serta merancang dan mengimplementasikan program-program pengajaran yang sesuai dengan prinsip-prinsip sosiologi.

Sebagai lulusan jurusan Pendidikan Sosiologi, para mahasiswa diharapkan memiliki pemahaman yang mendalam tentang hubungan antara pendidikan dan masyarakat, serta mampu mengembangkan solusi-solusi inovatif dalam meningkatkan kualitas pendidikan di berbagai tingkatan. Mereka juga diharapkan mampu menjadi agen perubahan yang bertanggung jawab dalam menciptakan sistem pendidikan yang lebih inklusif dan berkeadilan. Sosialisasi merupakan salah satu fokus utama dari jurusan ini, yang bertujuan untuk memahami dan memperbaiki ketidakadilan sosial dalam sistem sekolah.","1. Teori Sosiologi
2. Metode Penelitian Sosial
3. Sosiologi Keluarga
4. Sosiologi Pendidikan
5. Sosiologi Industri
6. Sosiologi Politik
7. Sosiologi Agama
8. Sosiologi Kriminal
9. Sosiologi Urban
10. Sosiologi Lingkungan",0.2,0.3,0.2,0.9,0.2,0.2,0.2,0.4,0.2,0.2,0.5,0.4,0.2,0.4,0.2,0.3,0.3,4
KEWIRAUSAHAAN,2438,"KEWIRAUSAHAAN adalah jurusan kuliah yang fokus pada pengembangan keterampilan dan pengetahuan untuk menciptakan dan mengelola bisnis secara efektif. Mahasiswa jurusan ini akan mempelajari berbagai keterampilan seperti manajemen, pemasaran, keuangan, dan inovasi produk. Mereka juga akan dilatih untuk mengidentifikasi peluang bisnis, mengembangkan strategi bisnis yang sukses, serta memahami pasar dan kebutuhan konsumen. Dengan demikian, lulusan jurusan ini diharapkan mampu menjadi wirausahawan yang sukses dan mampu berkontribusi dalam memajukan perekonomian.","1. Kewirausahaan
2. Manajemen
3. Akuntansi
4. Pemasaran
5. Keuangan
6. SDM (Sumber Daya Manusia)
7. Hukum Bisnis
8. Etika Bisnis
9. Statistik Bisnis
10. Riset Pemasaran",0.4,0.1,0.1,0.3,0.1,0.1,0.3,0.7,0.2,0.1,0.2,0.2,0.2,0.2,0.5,0.2,0.5,7
PENDIDIKAN TATA BUSANA,2418,"Jurusan Pendidikan Tata Busana adalah program studi yang membahas tentang pendidikan dan pengembangan keterampilan dalam bidang busana dan fashion. Dalam jurusan ini, mahasiswa akan mempelajari berbagai teknik dasar dalam mendesain pakaian, merancang pola, memotong bahan, menjahit, dan menjahit. Selain itu, mahasiswa juga akan belajar tentang sejarah mode, trend fashion, dan pengembangan kreativitas dalam mendesain pakaian.

Selain itu, jurusan Pendidikan Tata Busana juga memberikan pemahaman tentang industri fashion, proses produksi pakaian, pengelolaan usaha kreatif, dan manajemen bisnis dalam bidang fashion. Mahasiswa juga akan diajarkan untuk memahami prinsip-prinsip kewirausahaan dan pemasaran dalam industri fashion.

Dengan mengikuti program studi Pendidikan Tata Busana, mahasiswa akan dilatih untuk menjadi seorang desainer busana yang kreatif, berbakat, dan berpengetahuan luas dalam bidang fashion. Mereka akan siap untuk mengembangkan karir sebagai desainer busana, stylist, penasihat mode, pengusaha fashion, atau menjadi pengajar dalam bidang busana dan fashion.","1. Desain Busana
2. Pola dan Konstruksi Busana
3. Teknik Pembuatan Busana
4. Seni Lukis dan Batik
5. Kriya Tekstil
6. Manajemen Produksi Busana
7. Sejarah Mode
8. Pemodelan Busana
9. Kewirausahaan dalam Tata Busana
10. Pengetahuan Bahan dalam Busana",0.1,0.2,0.1,0.2,0.1,0.2,0.2,0.2,0.8,0.0,0.2,0.2,0.1,0.1,0.4,0.1,0.1,9
